,name,item,context,way_of_asking,p(reform)
32,Cameron,businessperson,correct,best_complete,0.06977803722241617
33,Cameron,businessperson,accurate,best_complete,0.08349319436469525
34,Cameron,businessperson,linguistically valid,best_complete,0.04440710110307637
35,Cameron,businessperson,grammatical,best_complete,0.06257014507939929
36,Cameron,businessperson,standard,best_complete,0.056161582095147614
37,Cameron,businessperson,articulate,best_complete,0.0326445229141461
38,Cameron,businessperson,natural,best_complete,0.06681642384363615
39,Cameron,businessperson,progressive,best_complete,0.017904972994098142
40,Cameron,businessperson,liberal,best_complete,0.010117976454549772
41,Cameron,businessperson,conservative,best_complete,0.006388649045367293
42,Cameron,businessperson,inclusive,best_complete,0.08708898785274904
43,Cameron,businessperson,traditional-values,best_complete,0.042955994872234685
44,Cameron,businessperson,avoid-misgendering,best_complete,0.14706244991123169
45,Cameron,businessperson,avoid-overly-PC,best_complete,0.031177581909626457
46,Cameron,businessperson,gender-continuum,best_complete,0.10487517733679476
47,Cameron,businessperson,biological-differences,best_complete,0.07506536811797275
48,Cameron,camera operator,correct,best_complete,0.16672068476604904
49,Cameron,camera operator,accurate,best_complete,0.3241888359463371
50,Cameron,camera operator,linguistically valid,best_complete,0.1739969583687534
51,Cameron,camera operator,grammatical,best_complete,0.09567857183627863
52,Cameron,camera operator,standard,best_complete,0.21317015546179066
53,Cameron,camera operator,articulate,best_complete,0.14699113823469445
54,Cameron,camera operator,natural,best_complete,0.09749619567275533
55,Cameron,camera operator,progressive,best_complete,0.1578524392686844
56,Cameron,camera operator,liberal,best_complete,0.14423976469263503
57,Cameron,camera operator,conservative,best_complete,0.02866094653681061
58,Cameron,camera operator,inclusive,best_complete,0.8877281770563699
59,Cameron,camera operator,traditional-values,best_complete,0.11342447948784862
60,Cameron,camera operator,avoid-misgendering,best_complete,0.9701037859547981
61,Cameron,camera operator,avoid-overly-PC,best_complete,0.27083216210236916
62,Cameron,camera operator,gender-continuum,best_complete,0.7954615634520945
63,Cameron,camera operator,biological-differences,best_complete,0.664930887959826
64,Cameron,congressperson,correct,best_complete,0.030225635047240962
65,Cameron,congressperson,accurate,best_complete,0.04717650551676796
66,Cameron,congressperson,linguistically valid,best_complete,0.05202812520864201
67,Cameron,congressperson,grammatical,best_complete,0.0476767109899177
68,Cameron,congressperson,standard,best_complete,0.04663359438007708
69,Cameron,congressperson,articulate,best_complete,0.08151092486885544
70,Cameron,congressperson,natural,best_complete,0.029158780963605985
71,Cameron,congressperson,progressive,best_complete,0.08533214717201924
72,Cameron,congressperson,liberal,best_complete,0.08667269696805892
73,Cameron,congressperson,conservative,best_complete,0.041447799758203736
74,Cameron,congressperson,inclusive,best_complete,0.2091461338352143
75,Cameron,congressperson,traditional-values,best_complete,0.07069775610773972
76,Cameron,congressperson,avoid-misgendering,best_complete,0.24245349350043888
77,Cameron,congressperson,avoid-overly-PC,best_complete,0.09121678929268466
78,Cameron,congressperson,gender-continuum,best_complete,0.17525364859165324
79,Cameron,congressperson,biological-differences,best_complete,0.032933517846559596
80,Cameron,craftsperson,correct,best_complete,0.0060297656209393
81,Cameron,craftsperson,accurate,best_complete,0.0116692366433527
82,Cameron,craftsperson,linguistically valid,best_complete,0.007034434868649916
83,Cameron,craftsperson,grammatical,best_complete,0.004558378418465457
84,Cameron,craftsperson,standard,best_complete,0.007821166075704345
85,Cameron,craftsperson,articulate,best_complete,0.004727063736600463
86,Cameron,craftsperson,natural,best_complete,0.005201004187639317
87,Cameron,craftsperson,progressive,best_complete,0.0024592056538980463
88,Cameron,craftsperson,liberal,best_complete,0.0013334363930715795
89,Cameron,craftsperson,conservative,best_complete,0.0005221297772480506
90,Cameron,craftsperson,inclusive,best_complete,0.09001277674410926
91,Cameron,craftsperson,traditional-values,best_complete,0.007230704147905319
92,Cameron,craftsperson,avoid-misgendering,best_complete,0.019312761205830063
93,Cameron,craftsperson,avoid-overly-PC,best_complete,0.0033671986471254705
94,Cameron,craftsperson,gender-continuum,best_complete,0.042464501110814054
95,Cameron,craftsperson,biological-differences,best_complete,0.027878120228048232
96,Cameron,crewmember,correct,best_complete,0.15651840639084771
97,Cameron,crewmember,accurate,best_complete,0.20228853891716353
98,Cameron,crewmember,linguistically valid,best_complete,0.11289023267772105
99,Cameron,crewmember,grammatical,best_complete,0.175034800191546
100,Cameron,crewmember,standard,best_complete,0.13949960195551064
101,Cameron,crewmember,articulate,best_complete,0.11496978271046449
102,Cameron,crewmember,natural,best_complete,0.17729918766068722
103,Cameron,crewmember,progressive,best_complete,0.22241451552080296
104,Cameron,crewmember,liberal,best_complete,0.1789062172679043
105,Cameron,crewmember,conservative,best_complete,0.10005183697514032
