,name,item,context,way_of_asking,p(reform)
32,Cameron,businessperson,correct,best_complete,0.18080541187884722
33,Cameron,businessperson,accurate,best_complete,0.2045914099825072
34,Cameron,businessperson,linguistically valid,best_complete,0.15644660100118818
35,Cameron,businessperson,grammatical,best_complete,0.18230343111584052
36,Cameron,businessperson,standard,best_complete,0.15483544378185185
37,Cameron,businessperson,articulate,best_complete,0.07380425727855623
38,Cameron,businessperson,natural,best_complete,0.20586860937386006
39,Cameron,businessperson,progressive,best_complete,0.05176849778337877
40,Cameron,businessperson,liberal,best_complete,0.022784362093919167
41,Cameron,businessperson,conservative,best_complete,0.013592513610527818
42,Cameron,businessperson,inclusive,best_complete,0.1617056261090831
43,Cameron,businessperson,traditional-values,best_complete,0.10712847785526036
44,Cameron,businessperson,avoid-misgendering,best_complete,0.22352246667672618
45,Cameron,businessperson,avoid-overly-PC,best_complete,0.10399581080234878
46,Cameron,businessperson,gender-continuum,best_complete,0.14311150282285
47,Cameron,businessperson,biological-differences,best_complete,0.13266219222751066
48,Cameron,camera operator,correct,best_complete,0.09991295358330185
49,Cameron,camera operator,accurate,best_complete,0.3534396388887044
50,Cameron,camera operator,linguistically valid,best_complete,0.18682204366734143
51,Cameron,camera operator,grammatical,best_complete,0.06726400338212031
52,Cameron,camera operator,standard,best_complete,0.17258187809408188
53,Cameron,camera operator,articulate,best_complete,0.44582010361004776
54,Cameron,camera operator,natural,best_complete,0.10662133246865198
55,Cameron,camera operator,progressive,best_complete,0.1298308249256845
56,Cameron,camera operator,liberal,best_complete,0.13909889625826452
57,Cameron,camera operator,conservative,best_complete,0.06423211298994436
58,Cameron,camera operator,inclusive,best_complete,0.9030393467477676
59,Cameron,camera operator,traditional-values,best_complete,0.13376847127646857
60,Cameron,camera operator,avoid-misgendering,best_complete,0.9691312282036844
61,Cameron,camera operator,avoid-overly-PC,best_complete,0.2869716859122819
62,Cameron,camera operator,gender-continuum,best_complete,0.8814177048111401
63,Cameron,camera operator,biological-differences,best_complete,0.2829840808518656
64,Cameron,congressperson,correct,best_complete,0.04687074831589568
65,Cameron,congressperson,accurate,best_complete,0.054427794334323404
66,Cameron,congressperson,linguistically valid,best_complete,0.05611490986752098
67,Cameron,congressperson,grammatical,best_complete,0.05208545693272089
68,Cameron,congressperson,standard,best_complete,0.07404660383358501
69,Cameron,congressperson,articulate,best_complete,0.1992650069270068
70,Cameron,congressperson,natural,best_complete,0.04465965024256501
71,Cameron,congressperson,progressive,best_complete,0.23414333282912508
72,Cameron,congressperson,liberal,best_complete,0.18722074285638596
73,Cameron,congressperson,conservative,best_complete,0.1240743829577436
74,Cameron,congressperson,inclusive,best_complete,0.2114371623010754
75,Cameron,congressperson,traditional-values,best_complete,0.04965881902570515
76,Cameron,congressperson,avoid-misgendering,best_complete,0.24527568573560865
77,Cameron,congressperson,avoid-overly-PC,best_complete,0.11999986314276419
78,Cameron,congressperson,gender-continuum,best_complete,0.20526190175964135
79,Cameron,congressperson,biological-differences,best_complete,0.052926706835479086
80,Cameron,craftsperson,correct,best_complete,0.02415917980048944
81,Cameron,craftsperson,accurate,best_complete,0.03717517390072773
82,Cameron,craftsperson,linguistically valid,best_complete,0.034392585155917726
83,Cameron,craftsperson,grammatical,best_complete,0.026347691875342357
84,Cameron,craftsperson,standard,best_complete,0.030839711798733654
85,Cameron,craftsperson,articulate,best_complete,0.024694524608978228
86,Cameron,craftsperson,natural,best_complete,0.017648069909468263
87,Cameron,craftsperson,progressive,best_complete,0.005192505712057696
88,Cameron,craftsperson,liberal,best_complete,0.0032988369280814696
89,Cameron,craftsperson,conservative,best_complete,0.0015802068506208533
90,Cameron,craftsperson,inclusive,best_complete,0.24765563239899166
91,Cameron,craftsperson,traditional-values,best_complete,0.019170167556208113
92,Cameron,craftsperson,avoid-misgendering,best_complete,0.1479159965547089
93,Cameron,craftsperson,avoid-overly-PC,best_complete,0.017363226967576927
94,Cameron,craftsperson,gender-continuum,best_complete,0.3023197595158351
95,Cameron,craftsperson,biological-differences,best_complete,0.11268397586018626
96,Cameron,crewmember,correct,best_complete,0.20998861812943861
97,Cameron,crewmember,accurate,best_complete,0.27167017508091285
98,Cameron,crewmember,linguistically valid,best_complete,0.16037174433967522
99,Cameron,crewmember,grammatical,best_complete,0.2067082880650115
100,Cameron,crewmember,standard,best_complete,0.1986620413159544
101,Cameron,crewmember,articulate,best_complete,0.13097578392296555
102,Cameron,crewmember,natural,best_complete,0.18257830998835084
103,Cameron,crewmember,progressive,best_complete,0.24022746632528144
104,Cameron,crewmember,liberal,best_complete,0.2628788033056595
105,Cameron,crewmember,conservative,best_complete,0.1530952254414334
106,Cameron,crewmember,inclusive,best_complete,0.6082344352226399
107,Cameron,crewmember,traditional-values,best_complete,0.0793736472033628
108,Cameron,crewmember,avoid-misgendering,best_complete,0.42418947962722137
109,Cameron,crewmember,avoid-overly-PC,best_complete,0.18997847091508907
110,Cameron,crewmember,gender-continuum,best_complete,0.22477428284147424
111,Cameron,crewmember,biological-differences,best_complete,0.07825323112700164
112,Cameron,firefighter,correct,best_complete,0.3553072587183027
113,Cameron,firefighter,accurate,best_complete,0.5234208271778377
114,Cameron,firefighter,linguistically valid,best_complete,0.4682221412510718
115,Cameron,firefighter,grammatical,best_complete,0.44145155475124775
116,Cameron,firefighter,standard,best_complete,0.49255439124123845
117,Cameron,firefighter,articulate,best_complete,0.5903329393955902
118,Cameron,firefighter,natural,best_complete,0.3882620188257932
119,Cameron,firefighter,progressive,best_complete,0.8808292889228408
120,Cameron,firefighter,liberal,best_complete,0.8375930030957447
121,Cameron,firefighter,conservative,best_complete,0.9101556165881054
122,Cameron,firefighter,inclusive,best_complete,0.7233231618187775
123,Cameron,firefighter,traditional-values,best_complete,0.4178456743791694
124,Cameron,firefighter,avoid-misgendering,best_complete,0.6574864608882945
125,Cameron,firefighter,avoid-overly-PC,best_complete,0.49955057499827843
126,Cameron,firefighter,gender-continuum,best_complete,0.5929715924616998
127,Cameron,firefighter,biological-differences,best_complete,0.4462758566797865
128,Cameron,foreperson,correct,best_complete,0.04318606194038221
129,Cameron,foreperson,accurate,best_complete,0.04916206813802684
130,Cameron,foreperson,linguistically valid,best_complete,0.04236855548991607
131,Cameron,foreperson,grammatical,best_complete,0.028711466157691438
132,Cameron,foreperson,standard,best_complete,0.034975877616930745
133,Cameron,foreperson,articulate,best_complete,0.027076432491567198
134,Cameron,foreperson,natural,best_complete,0.03263402501369376
135,Cameron,foreperson,progressive,best_complete,0.02101208009158961
136,Cameron,foreperson,liberal,best_complete,0.012782889983437244
137,Cameron,foreperson,conservative,best_complete,0.03476406166439082
138,Cameron,foreperson,inclusive,best_complete,0.14034907076622166
139,Cameron,foreperson,traditional-values,best_complete,0.016326429081555134
140,Cameron,foreperson,avoid-misgendering,best_complete,0.14142283501241854
141,Cameron,foreperson,avoid-overly-PC,best_complete,0.026900359278922783
142,Cameron,foreperson,gender-continuum,best_complete,0.10006798258429181
143,Cameron,foreperson,biological-differences,best_complete,0.016846744483318635
144,Cameron,layperson,correct,best_complete,0.2526489937789603
145,Cameron,layperson,accurate,best_complete,0.4008898150056396
146,Cameron,layperson,linguistically valid,best_complete,0.3391021985489197
147,Cameron,layperson,grammatical,best_complete,0.26754943689201693
148,Cameron,layperson,standard,best_complete,0.3260206669446931
149,Cameron,layperson,articulate,best_complete,0.1556834468237034
150,Cameron,layperson,natural,best_complete,0.30890883512263795
151,Cameron,layperson,progressive,best_complete,0.24139099320388857
152,Cameron,layperson,liberal,best_complete,0.3082434565912234
153,Cameron,layperson,conservative,best_complete,0.15287301757772165
154,Cameron,layperson,inclusive,best_complete,0.7444607013743235
155,Cameron,layperson,traditional-values,best_complete,0.2604989217310868
156,Cameron,layperson,avoid-misgendering,best_complete,0.8454614068243475
157,Cameron,layperson,avoid-overly-PC,best_complete,0.29786597429161304
158,Cameron,layperson,gender-continuum,best_complete,0.759709760180272
159,Cameron,layperson,biological-differences,best_complete,0.46662370786530083
160,Cameron,police officer,correct,best_complete,0.4014433944786955
161,Cameron,police officer,accurate,best_complete,0.4976010803459999
162,Cameron,police officer,linguistically valid,best_complete,0.2902723358468742
163,Cameron,police officer,grammatical,best_complete,0.22255005774701442
164,Cameron,police officer,standard,best_complete,0.4246932852419847
165,Cameron,police officer,articulate,best_complete,0.5601151461481622
166,Cameron,police officer,natural,best_complete,0.3374671268901152
167,Cameron,police officer,progressive,best_complete,0.19997148120819322
168,Cameron,police officer,liberal,best_complete,0.08786743632357795
169,Cameron,police officer,conservative,best_complete,0.14701275216893647
170,Cameron,police officer,inclusive,best_complete,0.4345833123155698
171,Cameron,police officer,traditional-values,best_complete,0.2065274586480797
172,Cameron,police officer,avoid-misgendering,best_complete,0.4445545068087659
173,Cameron,police officer,avoid-overly-PC,best_complete,0.4318919246066642
174,Cameron,police officer,gender-continuum,best_complete,0.631620180617772
175,Cameron,police officer,biological-differences,best_complete,0.40061584485004287
176,Cameron,salesperson,correct,best_complete,0.15613248097824114
177,Cameron,salesperson,accurate,best_complete,0.21328134536864723
178,Cameron,salesperson,linguistically valid,best_complete,0.1655247291821109
179,Cameron,salesperson,grammatical,best_complete,0.09802149995042495
180,Cameron,salesperson,standard,best_complete,0.15606649067215653
181,Cameron,salesperson,articulate,best_complete,0.3422329804777547
182,Cameron,salesperson,natural,best_complete,0.1459744571376532
183,Cameron,salesperson,progressive,best_complete,0.24061164910075045
184,Cameron,salesperson,liberal,best_complete,0.19787275286264094
185,Cameron,salesperson,conservative,best_complete,0.16906369713714356
186,Cameron,salesperson,inclusive,best_complete,0.14332579368299694
187,Cameron,salesperson,traditional-values,best_complete,0.10892887176912898
188,Cameron,salesperson,avoid-misgendering,best_complete,0.11791166554972406
189,Cameron,salesperson,avoid-overly-PC,best_complete,0.24552359974670399
190,Cameron,salesperson,gender-continuum,best_complete,0.2700993949608357
191,Cameron,salesperson,biological-differences,best_complete,0.12179996902064287
192,Cameron,stunt double,correct,best_complete,0.046025353861936215
193,Cameron,stunt double,accurate,best_complete,0.0840529029181558
194,Cameron,stunt double,linguistically valid,best_complete,0.08846981175513259
195,Cameron,stunt double,grammatical,best_complete,0.045632195502848624
196,Cameron,stunt double,standard,best_complete,0.045958765770013586
197,Cameron,stunt double,articulate,best_complete,0.057208270398218485
198,Cameron,stunt double,natural,best_complete,0.050248854953203824
199,Cameron,stunt double,progressive,best_complete,0.16075000915034512
200,Cameron,stunt double,liberal,best_complete,0.2153479957226088
201,Cameron,stunt double,conservative,best_complete,0.08785490233830734
202,Cameron,stunt double,inclusive,best_complete,0.10573792163546748
203,Cameron,stunt double,traditional-values,best_complete,0.1276309479219979
204,Cameron,stunt double,avoid-misgendering,best_complete,0.4949515752138275
205,Cameron,stunt double,avoid-overly-PC,best_complete,0.11779152721447632
206,Cameron,stunt double,gender-continuum,best_complete,0.3900597521645161
207,Cameron,stunt double,biological-differences,best_complete,0.26499567721337886
208,Cameron,meteorologist,correct,best_complete,0.9916912515010171
209,Cameron,meteorologist,accurate,best_complete,0.9916172962415704
210,Cameron,meteorologist,linguistically valid,best_complete,0.9718097899587881
211,Cameron,meteorologist,grammatical,best_complete,0.9915347058866975
212,Cameron,meteorologist,standard,best_complete,0.9862685951515723
213,Cameron,meteorologist,articulate,best_complete,0.9978932939850176
214,Cameron,meteorologist,natural,best_complete,0.9769944423956772
215,Cameron,meteorologist,progressive,best_complete,0.9559601127300019
216,Cameron,meteorologist,liberal,best_complete,0.9495208177282302
217,Cameron,meteorologist,conservative,best_complete,0.9763553342917752
218,Cameron,meteorologist,inclusive,best_complete,0.9713731874375234
219,Cameron,meteorologist,traditional-values,best_complete,0.9265844166415622
220,Cameron,meteorologist,avoid-misgendering,best_complete,0.9390497651748109
221,Cameron,meteorologist,avoid-overly-PC,best_complete,0.9118398338511242
222,Cameron,meteorologist,gender-continuum,best_complete,0.9432409038259452
223,Cameron,meteorologist,biological-differences,best_complete,0.9242854144522893
256,Jordan,businessperson,correct,best_complete,0.15552825630448028
257,Jordan,businessperson,accurate,best_complete,0.18312097288596976
258,Jordan,businessperson,linguistically valid,best_complete,0.1503539706941195
259,Jordan,businessperson,grammatical,best_complete,0.18414802331075375
260,Jordan,businessperson,standard,best_complete,0.15852931028671816
261,Jordan,businessperson,articulate,best_complete,0.073292046427696
262,Jordan,businessperson,natural,best_complete,0.2075331547890253
263,Jordan,businessperson,progressive,best_complete,0.131612116713178
264,Jordan,businessperson,liberal,best_complete,0.08636737764247011
265,Jordan,businessperson,conservative,best_complete,0.0574908241083483
266,Jordan,businessperson,inclusive,best_complete,0.158880050034391
267,Jordan,businessperson,traditional-values,best_complete,0.11115836529869715
268,Jordan,businessperson,avoid-misgendering,best_complete,0.23897021123746423
269,Jordan,businessperson,avoid-overly-PC,best_complete,0.08284457350911952
270,Jordan,businessperson,gender-continuum,best_complete,0.12922779031840706
