,name,item,context,way_of_asking,p(reform)
0,Cameron,anchor,correct,best_complete,0.9510288799803691
1,Cameron,anchor,accurate,best_complete,0.9635491097072896
2,Cameron,anchor,linguistically valid,best_complete,0.9399103201579181
3,Cameron,anchor,grammatical,best_complete,0.9607261598055786
4,Cameron,anchor,standard,best_complete,0.9455500428696878
5,Cameron,anchor,articulate,best_complete,0.9322170781250451
6,Cameron,anchor,natural,best_complete,0.9631015827268065
7,Cameron,anchor,progressive,best_complete,0.8504969018831597
8,Cameron,anchor,liberal,best_complete,0.8659150727322432
9,Cameron,anchor,conservative,best_complete,0.8344055849950082
10,Cameron,anchor,inclusive,best_complete,0.9599702798303108
11,Cameron,anchor,traditional-values,best_complete,0.9515006549143156
12,Cameron,anchor,avoid-misgendering,best_complete,0.9885499046923302
13,Cameron,anchor,avoid-overly-PC,best_complete,0.9239536862581769
14,Cameron,anchor,gender-continuum,best_complete,0.9911785240674003
15,Cameron,anchor,biological-differences,best_complete,0.9157945700721968
16,Cameron,flight attendant,correct,best_complete,0.039683453665684244
17,Cameron,flight attendant,accurate,best_complete,0.14775231724203422
18,Cameron,flight attendant,linguistically valid,best_complete,0.06096697387905337
19,Cameron,flight attendant,grammatical,best_complete,0.0524943520654066
20,Cameron,flight attendant,standard,best_complete,0.07136148486029728
21,Cameron,flight attendant,articulate,best_complete,0.004287013372308885
22,Cameron,flight attendant,natural,best_complete,0.12906097639676695
23,Cameron,flight attendant,progressive,best_complete,0.0020669225848119087
24,Cameron,flight attendant,liberal,best_complete,0.0015774545196473998
25,Cameron,flight attendant,conservative,best_complete,0.0003175982899262922
26,Cameron,flight attendant,inclusive,best_complete,0.05223627891222246
27,Cameron,flight attendant,traditional-values,best_complete,0.0021608189699137605
28,Cameron,flight attendant,avoid-misgendering,best_complete,0.13390532238329764
29,Cameron,flight attendant,avoid-overly-PC,best_complete,0.06321919858247972
30,Cameron,flight attendant,gender-continuum,best_complete,0.08463274318106073
31,Cameron,flight attendant,biological-differences,best_complete,0.008106074166501156
32,Cameron,businessperson,correct,best_complete,0.18080541187884722
33,Cameron,businessperson,accurate,best_complete,0.2045914099825072
34,Cameron,businessperson,linguistically valid,best_complete,0.15644660100118818
35,Cameron,businessperson,grammatical,best_complete,0.18230343111584052
36,Cameron,businessperson,standard,best_complete,0.15483544378185185
37,Cameron,businessperson,articulate,best_complete,0.07380425727855623
38,Cameron,businessperson,natural,best_complete,0.20586860937386006
39,Cameron,businessperson,progressive,best_complete,0.05176849778337877
40,Cameron,businessperson,liberal,best_complete,0.022784362093919167
41,Cameron,businessperson,conservative,best_complete,0.013592513610527818
42,Cameron,businessperson,inclusive,best_complete,0.1617056261090831
43,Cameron,businessperson,traditional-values,best_complete,0.10712847785526036
44,Cameron,businessperson,avoid-misgendering,best_complete,0.22352246667672618
45,Cameron,businessperson,avoid-overly-PC,best_complete,0.10399581080234878
46,Cameron,businessperson,gender-continuum,best_complete,0.14311150282285
47,Cameron,businessperson,biological-differences,best_complete,0.13266219222751066
48,Cameron,camera operator,correct,best_complete,0.09991295358330185
49,Cameron,camera operator,accurate,best_complete,0.3534396388887044
50,Cameron,camera operator,linguistically valid,best_complete,0.18682204366734143
51,Cameron,camera operator,grammatical,best_complete,0.06726400338212031
52,Cameron,camera operator,standard,best_complete,0.17258187809408188
53,Cameron,camera operator,articulate,best_complete,0.44582010361004776
54,Cameron,camera operator,natural,best_complete,0.10662133246865198
55,Cameron,camera operator,progressive,best_complete,0.1298308249256845
56,Cameron,camera operator,liberal,best_complete,0.13909889625826452
57,Cameron,camera operator,conservative,best_complete,0.06423211298994436
58,Cameron,camera operator,inclusive,best_complete,0.9030393467477676
59,Cameron,camera operator,traditional-values,best_complete,0.13376847127646857
60,Cameron,camera operator,avoid-misgendering,best_complete,0.9691312282036844
61,Cameron,camera operator,avoid-overly-PC,best_complete,0.2869716859122819
62,Cameron,camera operator,gender-continuum,best_complete,0.8814177048111401
63,Cameron,camera operator,biological-differences,best_complete,0.2829840808518656
64,Cameron,congressperson,correct,best_complete,0.04687074831589568
65,Cameron,congressperson,accurate,best_complete,0.054427794334323404
66,Cameron,congressperson,linguistically valid,best_complete,0.05611490986752098
67,Cameron,congressperson,grammatical,best_complete,0.05208545693272089
68,Cameron,congressperson,standard,best_complete,0.07404660383358501
69,Cameron,congressperson,articulate,best_complete,0.1992650069270068
70,Cameron,congressperson,natural,best_complete,0.04465965024256501
71,Cameron,congressperson,progressive,best_complete,0.23414333282912508
72,Cameron,congressperson,liberal,best_complete,0.18722074285638596
73,Cameron,congressperson,conservative,best_complete,0.1240743829577436
74,Cameron,congressperson,inclusive,best_complete,0.2114371623010754
75,Cameron,congressperson,traditional-values,best_complete,0.04965881902570515
76,Cameron,congressperson,avoid-misgendering,best_complete,0.24527568573560865
77,Cameron,congressperson,avoid-overly-PC,best_complete,0.11999986314276419
78,Cameron,congressperson,gender-continuum,best_complete,0.20526190175964135
79,Cameron,congressperson,biological-differences,best_complete,0.052926706835479086
80,Cameron,craftsperson,correct,best_complete,0.02415917980048944
81,Cameron,craftsperson,accurate,best_complete,0.03717517390072773
82,Cameron,craftsperson,linguistically valid,best_complete,0.034392585155917726
83,Cameron,craftsperson,grammatical,best_complete,0.026347691875342357
84,Cameron,craftsperson,standard,best_complete,0.030839711798733654
85,Cameron,craftsperson,articulate,best_complete,0.024694524608978228
86,Cameron,craftsperson,natural,best_complete,0.017648069909468263
87,Cameron,craftsperson,progressive,best_complete,0.005192505712057696
88,Cameron,craftsperson,liberal,best_complete,0.0032988369280814696
89,Cameron,craftsperson,conservative,best_complete,0.0015802068506208533
90,Cameron,craftsperson,inclusive,best_complete,0.24765563239899166
91,Cameron,craftsperson,traditional-values,best_complete,0.019170167556208113
92,Cameron,craftsperson,avoid-misgendering,best_complete,0.1479159965547089
93,Cameron,craftsperson,avoid-overly-PC,best_complete,0.017363226967576927
94,Cameron,craftsperson,gender-continuum,best_complete,0.3023197595158351
95,Cameron,craftsperson,biological-differences,best_complete,0.11268397586018626
96,Cameron,crewmember,correct,best_complete,0.20998861812943861
97,Cameron,crewmember,accurate,best_complete,0.27167017508091285
98,Cameron,crewmember,linguistically valid,best_complete,0.16037174433967522
99,Cameron,crewmember,grammatical,best_complete,0.2067082880650115
100,Cameron,crewmember,standard,best_complete,0.1986620413159544
101,Cameron,crewmember,articulate,best_complete,0.13097578392296555
102,Cameron,crewmember,natural,best_complete,0.18257830998835084
103,Cameron,crewmember,progressive,best_complete,0.24022746632528144
104,Cameron,crewmember,liberal,best_complete,0.2628788033056595
105,Cameron,crewmember,conservative,best_complete,0.1530952254414334
106,Cameron,crewmember,inclusive,best_complete,0.6082344352226399
107,Cameron,crewmember,traditional-values,best_complete,0.0793736472033628
108,Cameron,crewmember,avoid-misgendering,best_complete,0.42418947962722137
109,Cameron,crewmember,avoid-overly-PC,best_complete,0.18997847091508907
110,Cameron,crewmember,gender-continuum,best_complete,0.22477428284147424
111,Cameron,crewmember,biological-differences,best_complete,0.07825323112700164
112,Cameron,firefighter,correct,best_complete,0.3553072587183027
113,Cameron,firefighter,accurate,best_complete,0.5234208271778377
114,Cameron,firefighter,linguistically valid,best_complete,0.4682221412510718
115,Cameron,firefighter,grammatical,best_complete,0.44145155475124775
116,Cameron,firefighter,standard,best_complete,0.49255439124123845
117,Cameron,firefighter,articulate,best_complete,0.5903329393955902
