,name,item,context,way_of_asking,p(reform)
32,Cameron,businessperson,correct,best_complete,0.16295499244245218
33,Cameron,businessperson,accurate,best_complete,0.415616528873975
34,Cameron,businessperson,linguistically valid,best_complete,0.17385154572606784
35,Cameron,businessperson,grammatical,best_complete,0.15801544633459985
36,Cameron,businessperson,standard,best_complete,0.17115670120616308
37,Cameron,businessperson,articulate,best_complete,0.287848975408005
38,Cameron,businessperson,natural,best_complete,0.15990568184553886
39,Cameron,businessperson,progressive,best_complete,0.25152276792094097
40,Cameron,businessperson,liberal,best_complete,0.11729670214522907
41,Cameron,businessperson,conservative,best_complete,0.07122291891635144
42,Cameron,businessperson,inclusive,best_complete,0.46873013543340136
43,Cameron,businessperson,traditional-values,best_complete,0.10800151275561991
44,Cameron,businessperson,avoid-misgendering,best_complete,0.1937587388086011
45,Cameron,businessperson,avoid-overly-PC,best_complete,0.0372727539269574
46,Cameron,businessperson,gender-continuum,best_complete,0.15819063578597167
47,Cameron,businessperson,biological-differences,best_complete,0.04495498523176376
48,Cameron,camera operator,correct,best_complete,0.020569612171722904
49,Cameron,camera operator,accurate,best_complete,0.04858834176902191
50,Cameron,camera operator,linguistically valid,best_complete,0.01363515495393799
51,Cameron,camera operator,grammatical,best_complete,0.009891438797342911
52,Cameron,camera operator,standard,best_complete,0.024698748454746754
53,Cameron,camera operator,articulate,best_complete,0.037457895196363264
54,Cameron,camera operator,natural,best_complete,0.049887047096148225
55,Cameron,camera operator,progressive,best_complete,0.05149054630813058
56,Cameron,camera operator,liberal,best_complete,0.042898634169941385
57,Cameron,camera operator,conservative,best_complete,0.036082437745097604
58,Cameron,camera operator,inclusive,best_complete,0.09259594813438295
59,Cameron,camera operator,traditional-values,best_complete,0.013989820315907302
60,Cameron,camera operator,avoid-misgendering,best_complete,0.015011867895681385
61,Cameron,camera operator,avoid-overly-PC,best_complete,0.00894830661763478
62,Cameron,camera operator,gender-continuum,best_complete,0.019006345289239744
63,Cameron,camera operator,biological-differences,best_complete,0.006012125455096711
64,Cameron,congressperson,correct,best_complete,0.016533478781108252
65,Cameron,congressperson,accurate,best_complete,0.03123772630965244
66,Cameron,congressperson,linguistically valid,best_complete,0.007501682024624063
67,Cameron,congressperson,grammatical,best_complete,0.009091746169561347
68,Cameron,congressperson,standard,best_complete,0.015670827643993447
69,Cameron,congressperson,articulate,best_complete,0.03288620051157087
70,Cameron,congressperson,natural,best_complete,0.014188208205920034
71,Cameron,congressperson,progressive,best_complete,0.04467504039789055
72,Cameron,congressperson,liberal,best_complete,0.04259696849944677
73,Cameron,congressperson,conservative,best_complete,0.02331768845689353
74,Cameron,congressperson,inclusive,best_complete,0.05964975177514346
75,Cameron,congressperson,traditional-values,best_complete,0.016003259764607907
76,Cameron,congressperson,avoid-misgendering,best_complete,0.0368359269225609
77,Cameron,congressperson,avoid-overly-PC,best_complete,0.01414598710207862
78,Cameron,congressperson,gender-continuum,best_complete,0.031384057687599755
79,Cameron,congressperson,biological-differences,best_complete,0.007915981965463514
80,Cameron,craftsperson,correct,best_complete,0.014610946986075693
81,Cameron,craftsperson,accurate,best_complete,0.028980671902337034
82,Cameron,craftsperson,linguistically valid,best_complete,0.01575453383178696
83,Cameron,craftsperson,grammatical,best_complete,0.011522654020965284
84,Cameron,craftsperson,standard,best_complete,0.01376033999385722
85,Cameron,craftsperson,articulate,best_complete,0.028333648827068496
86,Cameron,craftsperson,natural,best_complete,0.020969061846782388
87,Cameron,craftsperson,progressive,best_complete,0.04476737920120958
88,Cameron,craftsperson,liberal,best_complete,0.022239679630768287
89,Cameron,craftsperson,conservative,best_complete,0.013217100389561044
90,Cameron,craftsperson,inclusive,best_complete,0.1202931928504283
91,Cameron,craftsperson,traditional-values,best_complete,0.010780164614424805
92,Cameron,craftsperson,avoid-misgendering,best_complete,0.08284518449124266
93,Cameron,craftsperson,avoid-overly-PC,best_complete,0.024801440803511973
94,Cameron,craftsperson,gender-continuum,best_complete,0.04361321921601017
95,Cameron,craftsperson,biological-differences,best_complete,0.005512757953910511
96,Cameron,crewmember,correct,best_complete,0.415904824383734
97,Cameron,crewmember,accurate,best_complete,0.612859596232646
98,Cameron,crewmember,linguistically valid,best_complete,0.3919695064384299
99,Cameron,crewmember,grammatical,best_complete,0.43752238662787607
100,Cameron,crewmember,standard,best_complete,0.5156322620742707
101,Cameron,crewmember,articulate,best_complete,0.4415752046688923
102,Cameron,crewmember,natural,best_complete,0.48451736190471323
103,Cameron,crewmember,progressive,best_complete,0.4850494156867515
104,Cameron,crewmember,liberal,best_complete,0.3207983054287178
105,Cameron,crewmember,conservative,best_complete,0.17630231192964663
106,Cameron,crewmember,inclusive,best_complete,0.7271364198265958
107,Cameron,crewmember,traditional-values,best_complete,0.21427283328063912
108,Cameron,crewmember,avoid-misgendering,best_complete,0.4470795069455439
109,Cameron,crewmember,avoid-overly-PC,best_complete,0.5940326739948486
110,Cameron,crewmember,gender-continuum,best_complete,0.5005208603925697
111,Cameron,crewmember,biological-differences,best_complete,0.12784876042920879
112,Cameron,firefighter,correct,best_complete,0.5882491782174775
113,Cameron,firefighter,accurate,best_complete,0.8084200483183508
114,Cameron,firefighter,linguistically valid,best_complete,0.5489541083521724
115,Cameron,firefighter,grammatical,best_complete,0.48597974801804245
116,Cameron,firefighter,standard,best_complete,0.6590408259845693
117,Cameron,firefighter,articulate,best_complete,0.7288308636134788
118,Cameron,firefighter,natural,best_complete,0.7024154768576022
119,Cameron,firefighter,progressive,best_complete,0.8504434746900517
120,Cameron,firefighter,liberal,best_complete,0.881328873894904
121,Cameron,firefighter,conservative,best_complete,0.8722000476371551
122,Cameron,firefighter,inclusive,best_complete,0.8058916571381443
123,Cameron,firefighter,traditional-values,best_complete,0.7359934204231176
124,Cameron,firefighter,avoid-misgendering,best_complete,0.6388064438464524
125,Cameron,firefighter,avoid-overly-PC,best_complete,0.5043798120193446
126,Cameron,firefighter,gender-continuum,best_complete,0.6888540159485455
127,Cameron,firefighter,biological-differences,best_complete,0.3663593065222911
128,Cameron,foreperson,correct,best_complete,0.008185976261704751
129,Cameron,foreperson,accurate,best_complete,0.00911245897283083
130,Cameron,foreperson,linguistically valid,best_complete,0.009597857664762458
131,Cameron,foreperson,grammatical,best_complete,0.006751990962494349
132,Cameron,foreperson,standard,best_complete,0.00935618775311212
133,Cameron,foreperson,articulate,best_complete,0.024235684320225975
134,Cameron,foreperson,natural,best_complete,0.007091541853029337
135,Cameron,foreperson,progressive,best_complete,0.026009824483696594
136,Cameron,foreperson,liberal,best_complete,0.02540593086772716
137,Cameron,foreperson,conservative,best_complete,0.018076674879819378
138,Cameron,foreperson,inclusive,best_complete,0.011139324468330753
139,Cameron,foreperson,traditional-values,best_complete,0.007233239384342402
140,Cameron,foreperson,avoid-misgendering,best_complete,0.003772826427970328
141,Cameron,foreperson,avoid-overly-PC,best_complete,0.003027616134773701
142,Cameron,foreperson,gender-continuum,best_complete,0.00244601506644574
143,Cameron,foreperson,biological-differences,best_complete,0.00030741938140102536
144,Cameron,layperson,correct,best_complete,0.3781702370528789
145,Cameron,layperson,accurate,best_complete,0.6921722449352353
146,Cameron,layperson,linguistically valid,best_complete,0.42343369082609983
147,Cameron,layperson,grammatical,best_complete,0.3669924974309073
148,Cameron,layperson,standard,best_complete,0.4189376031722735
149,Cameron,layperson,articulate,best_complete,0.3132357361457683
150,Cameron,layperson,natural,best_complete,0.4091553237130533
151,Cameron,layperson,progressive,best_complete,0.44990372904801906
152,Cameron,layperson,liberal,best_complete,0.35963034554284773
153,Cameron,layperson,conservative,best_complete,0.143732610368291
154,Cameron,layperson,inclusive,best_complete,0.7434539482071931
155,Cameron,layperson,traditional-values,best_complete,0.17625754846032887
156,Cameron,layperson,avoid-misgendering,best_complete,0.4687666250100245
157,Cameron,layperson,avoid-overly-PC,best_complete,0.06986004242554329
158,Cameron,layperson,gender-continuum,best_complete,0.4538163052702412
159,Cameron,layperson,biological-differences,best_complete,0.18060628900965114
160,Cameron,police officer,correct,best_complete,0.12607707938328996
161,Cameron,police officer,accurate,best_complete,0.3715558036215032
162,Cameron,police officer,linguistically valid,best_complete,0.14306073943283235
163,Cameron,police officer,grammatical,best_complete,0.0986087253611911
164,Cameron,police officer,standard,best_complete,0.13742742643804376
165,Cameron,police officer,articulate,best_complete,0.2976632353295471
166,Cameron,police officer,natural,best_complete,0.1984662926350396
167,Cameron,police officer,progressive,best_complete,0.4705839033177523
168,Cameron,police officer,liberal,best_complete,0.49081741558791997
169,Cameron,police officer,conservative,best_complete,0.4885670621002859
170,Cameron,police officer,inclusive,best_complete,0.6703827958065824
171,Cameron,police officer,traditional-values,best_complete,0.22742482576915374
172,Cameron,police officer,avoid-misgendering,best_complete,0.43645304539568214
173,Cameron,police officer,avoid-overly-PC,best_complete,0.4743093934087387
174,Cameron,police officer,gender-continuum,best_complete,0.39949532741287075
175,Cameron,police officer,biological-differences,best_complete,0.518232460657278
176,Cameron,salesperson,correct,best_complete,0.14343234250586467
177,Cameron,salesperson,accurate,best_complete,0.3662051624057786
178,Cameron,salesperson,linguistically valid,best_complete,0.12170490401974098
179,Cameron,salesperson,grammatical,best_complete,0.13284540198206604
180,Cameron,salesperson,standard,best_complete,0.1700686019070194
181,Cameron,salesperson,articulate,best_complete,0.2728305979613364
182,Cameron,salesperson,natural,best_complete,0.14271476330369054
183,Cameron,salesperson,progressive,best_complete,0.36345688993243935
184,Cameron,salesperson,liberal,best_complete,0.20913840279050577
185,Cameron,salesperson,conservative,best_complete,0.1246180731220986
186,Cameron,salesperson,inclusive,best_complete,0.5911043129407945
187,Cameron,salesperson,traditional-values,best_complete,0.09561614752671302
188,Cameron,salesperson,avoid-misgendering,best_complete,0.24931355458031673
189,Cameron,salesperson,avoid-overly-PC,best_complete,0.049899269681663014
190,Cameron,salesperson,gender-continuum,best_complete,0.3323773584201932
191,Cameron,salesperson,biological-differences,best_complete,0.0614931083908368
192,Cameron,stunt double,correct,best_complete,0.0004900836721627198
193,Cameron,stunt double,accurate,best_complete,0.0011888058890746544
194,Cameron,stunt double,linguistically valid,best_complete,0.0006882523719156777
195,Cameron,stunt double,grammatical,best_complete,0.0004592587190228341
196,Cameron,stunt double,standard,best_complete,0.00078730731603523
197,Cameron,stunt double,articulate,best_complete,0.0012061184299272541
198,Cameron,stunt double,natural,best_complete,0.0012069856781158613
199,Cameron,stunt double,progressive,best_complete,0.005098334167476544
200,Cameron,stunt double,liberal,best_complete,0.006611410735601245
201,Cameron,stunt double,conservative,best_complete,0.004489069912896512
202,Cameron,stunt double,inclusive,best_complete,0.004452742687118531
203,Cameron,stunt double,traditional-values,best_complete,0.0021519433711360493
204,Cameron,stunt double,avoid-misgendering,best_complete,0.006462011967444182
205,Cameron,stunt double,avoid-overly-PC,best_complete,0.01825032948628826
206,Cameron,stunt double,gender-continuum,best_complete,0.006612537648572014
207,Cameron,stunt double,biological-differences,best_complete,0.0038552637661009217
208,Cameron,meteorologist,correct,best_complete,0.9771582943477215
209,Cameron,meteorologist,accurate,best_complete,0.9910910996964077
210,Cameron,meteorologist,linguistically valid,best_complete,0.976947553384297
211,Cameron,meteorologist,grammatical,best_complete,0.9506412188996861
212,Cameron,meteorologist,standard,best_complete,0.9275197267492519
