context,p(reform)
accurate,0.29126687281448316
articulate,0.2709345675922471
avoid-misgendering,0.4095689019695305
avoid-overly-PC,0.2614976621444889
biological-differences,0.2765809412606158
conservative,0.24160046943798527
correct,0.25190197946793913
gender-continuum,0.42469712429504347
grammatical,0.24194612853958347
inclusive,0.3918686772961339
liberal,0.27840998919676857
linguistically valid,0.24624155481263524
natural,0.24483777793459213
progressive,0.2932940095794252
standard,0.25059248263858735
traditional-values,0.2332293237652684
