,name,item,context,way_of_asking,p(reform)
0,Aaron,anchor,choices-all-terms,best_complete,0.6144160035141545
1,Aaron,anchor,choices-all-terms,best_refer,0.5984654316150775
2,Aaron,anchor,choices-all-terms,direct,0.6374615116653576
3,Aaron,anchor,choices-all-terms,likely_complete,0.5735027583668808
4,Aaron,anchor,choices-all-terms,likely_refer,0.569573052659942
5,Aaron,businessperson,choices-all-terms,best_complete,0.7718726574977565
6,Aaron,businessperson,choices-all-terms,best_refer,0.8373892896610161
7,Aaron,businessperson,choices-all-terms,direct,0.6220004819439995
8,Aaron,businessperson,choices-all-terms,likely_complete,0.7387117708868943
9,Aaron,businessperson,choices-all-terms,likely_refer,0.7597289526742274
10,Aaron,camera operator,choices-all-terms,best_complete,0.1338222169324146
11,Aaron,camera operator,choices-all-terms,best_refer,0.190402157014277
12,Aaron,camera operator,choices-all-terms,direct,0.12089726065228622
13,Aaron,camera operator,choices-all-terms,likely_complete,0.10907652747778201
14,Aaron,camera operator,choices-all-terms,likely_refer,0.1774192765831496
15,Aaron,congressperson,choices-all-terms,best_complete,0.5134125216959599
16,Aaron,congressperson,choices-all-terms,best_refer,0.5619562966922104
17,Aaron,congressperson,choices-all-terms,direct,0.19281154634285835
18,Aaron,congressperson,choices-all-terms,likely_complete,0.4936047925925224
19,Aaron,congressperson,choices-all-terms,likely_refer,0.5315325652791615
20,Aaron,craftsperson,choices-all-terms,best_complete,0.19659657175685977
21,Aaron,craftsperson,choices-all-terms,best_refer,0.41186148760277375
22,Aaron,craftsperson,choices-all-terms,direct,0.2655903789621243
23,Aaron,craftsperson,choices-all-terms,likely_complete,0.3488824168705699
24,Aaron,craftsperson,choices-all-terms,likely_refer,0.51135200781318
25,Aaron,crewmember,choices-all-terms,best_complete,0.40947502898501914
26,Aaron,crewmember,choices-all-terms,best_refer,0.4859291593610285
27,Aaron,crewmember,choices-all-terms,direct,0.35683911290574094
28,Aaron,crewmember,choices-all-terms,likely_complete,0.3472425017316938
29,Aaron,crewmember,choices-all-terms,likely_refer,0.3900236672636433
30,Aaron,firefighter,choices-all-terms,best_complete,0.44632597457467166
31,Aaron,firefighter,choices-all-terms,best_refer,0.39478590962308435
32,Aaron,firefighter,choices-all-terms,direct,0.7459788315670016
33,Aaron,firefighter,choices-all-terms,likely_complete,0.33597195456297474
34,Aaron,firefighter,choices-all-terms,likely_refer,0.27026027342143916
35,Aaron,flight attendant,choices-all-terms,best_complete,0.17537214172111984
36,Aaron,flight attendant,choices-all-terms,best_refer,0.2295911397635427
37,Aaron,flight attendant,choices-all-terms,direct,0.4639493667203669
38,Aaron,flight attendant,choices-all-terms,likely_complete,0.16047386853145548
39,Aaron,flight attendant,choices-all-terms,likely_refer,0.18878009714912958
40,Aaron,foreperson,choices-all-terms,best_complete,0.2928604481746392
41,Aaron,foreperson,choices-all-terms,best_refer,0.32786293345847034
42,Aaron,foreperson,choices-all-terms,direct,0.20860660124235195
43,Aaron,foreperson,choices-all-terms,likely_complete,0.2021980921725488
44,Aaron,foreperson,choices-all-terms,likely_refer,0.23312422432690152
45,Aaron,layperson,choices-all-terms,best_complete,0.4936808947738456
46,Aaron,layperson,choices-all-terms,best_refer,0.5615383913789368
47,Aaron,layperson,choices-all-terms,direct,0.45062406349648704
48,Aaron,layperson,choices-all-terms,likely_complete,0.431687118689757
49,Aaron,layperson,choices-all-terms,likely_refer,0.45092895074797995
50,Aaron,meteorologist,choices-all-terms,best_complete,0.6459035732181432
51,Aaron,meteorologist,choices-all-terms,best_refer,0.699373528942221
52,Aaron,meteorologist,choices-all-terms,direct,0.7188125092414976
53,Aaron,meteorologist,choices-all-terms,likely_complete,0.6859588815541718
54,Aaron,meteorologist,choices-all-terms,likely_refer,0.6572623403285104
55,Aaron,police officer,choices-all-terms,best_complete,0.44648702076721114
56,Aaron,police officer,choices-all-terms,best_refer,0.49789026321432606
57,Aaron,police officer,choices-all-terms,direct,0.4630141712038089
58,Aaron,police officer,choices-all-terms,likely_complete,0.36515420233836604
59,Aaron,police officer,choices-all-terms,likely_refer,0.4235420416908025
60,Aaron,salesperson,choices-all-terms,best_complete,0.5900939959097095
61,Aaron,salesperson,choices-all-terms,best_refer,0.6901226834294308
62,Aaron,salesperson,choices-all-terms,direct,0.3921208160636776
63,Aaron,salesperson,choices-all-terms,likely_complete,0.6245217090888124
64,Aaron,salesperson,choices-all-terms,likely_refer,0.6234478576943774
65,Aaron,stunt double,choices-all-terms,best_complete,0.2613456509664394
66,Aaron,stunt double,choices-all-terms,best_refer,0.31174322727657816
67,Aaron,stunt double,choices-all-terms,direct,0.3009762140608759
68,Aaron,stunt double,choices-all-terms,likely_complete,0.19676920481025317
69,Aaron,stunt double,choices-all-terms,likely_refer,0.263457253165897
70,Adeline,anchor,choices-all-terms,best_complete,0.5396025650795572
71,Adeline,anchor,choices-all-terms,best_refer,0.5371449995023548
72,Adeline,anchor,choices-all-terms,direct,0.08420629337274833
73,Adeline,anchor,choices-all-terms,likely_complete,0.523442891569713
74,Adeline,anchor,choices-all-terms,likely_refer,0.5328365236751694
75,Adeline,businessperson,choices-all-terms,best_complete,0.5374762018386863
76,Adeline,businessperson,choices-all-terms,best_refer,0.5657504508001255
77,Adeline,businessperson,choices-all-terms,direct,0.4230629201043355
78,Adeline,businessperson,choices-all-terms,likely_complete,0.5001885409810415
79,Adeline,businessperson,choices-all-terms,likely_refer,0.5151191315216458
80,Adeline,camera operator,choices-all-terms,best_complete,0.10523999646449017
81,Adeline,camera operator,choices-all-terms,best_refer,0.18085022173021761
82,Adeline,camera operator,choices-all-terms,direct,0.14230813108893867
83,Adeline,camera operator,choices-all-terms,likely_complete,0.07609729146374722
84,Adeline,camera operator,choices-all-terms,likely_refer,0.1612813974627764
85,Adeline,congressperson,choices-all-terms,best_complete,0.3115652634643972
86,Adeline,congressperson,choices-all-terms,best_refer,0.36244548733194626
87,Adeline,congressperson,choices-all-terms,direct,0.2933559273784539
88,Adeline,congressperson,choices-all-terms,likely_complete,0.31566405861337515
89,Adeline,congressperson,choices-all-terms,likely_refer,0.3742379950071288
90,Adeline,craftsperson,choices-all-terms,best_complete,0.1631155729252978
91,Adeline,craftsperson,choices-all-terms,best_refer,0.23301347273900616
92,Adeline,craftsperson,choices-all-terms,direct,0.32660011418115037
93,Adeline,craftsperson,choices-all-terms,likely_complete,0.24057221994776637
94,Adeline,craftsperson,choices-all-terms,likely_refer,0.2660798628228807
95,Adeline,crewmember,choices-all-terms,best_complete,0.6317266687005857
96,Adeline,crewmember,choices-all-terms,best_refer,0.6976934113314103
97,Adeline,crewmember,choices-all-terms,direct,0.6209828175125577
98,Adeline,crewmember,choices-all-terms,likely_complete,0.5631085207129938
99,Adeline,crewmember,choices-all-terms,likely_refer,0.6052688999370803
100,Adeline,firefighter,choices-all-terms,best_complete,0.23570202393819303
101,Adeline,firefighter,choices-all-terms,best_refer,0.342925572566187
102,Adeline,firefighter,choices-all-terms,direct,0.6582961166376466
103,Adeline,firefighter,choices-all-terms,likely_complete,0.16220805015405262
104,Adeline,firefighter,choices-all-terms,likely_refer,0.20550336091524435
105,Adeline,flight attendant,choices-all-terms,best_complete,0.19697627888377534
