name,item,form_set,perm,way_of_asking,context,prompt_text,model,logprobs_dict
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-xl,"{'anchor': -11.256610870361328, 'anchorman': -12.096137404441833, 'anchorwoman': -19.874317169189453}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-xl,"{'anchor': -10.869181632995605, 'anchorman': -12.4468092918396, 'anchorwoman': -18.781660079956055}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-xl,"{'anchor': -13.047423362731934, 'anchorman': -15.928386449813843, 'anchorwoman': -23.398613929748535}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-xl,"{'anchor': -12.510915756225586, 'anchorman': -14.533825874328613, 'anchorwoman': -22.654606819152832}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-xl,"{'anchor': -10.30168628692627, 'anchorman': -11.153696715831757, 'anchorwoman': -18.10736656188965}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-xl,"{'anchor': -12.477518081665039, 'anchorman': -13.932775735855103, 'anchorwoman': -19.81754779815674}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-xl,"{'anchor': -10.017173767089844, 'anchorman': -10.997567594051361, 'anchorwoman': -16.849502086639404}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-xl,"{'anchor': -13.058150291442871, 'anchorman': -14.78783118724823, 'anchorwoman': -19.338470935821533}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-xl,"{'anchor': -12.909119606018066, 'anchorman': -15.52297067642212, 'anchorwoman': -20.041263580322266}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-xl,"{'anchor': -12.988024711608887, 'anchorman': -16.088255882263184, 'anchorwoman': -21.80099105834961}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-xl,"{'anchor': -15.231440544128418, 'anchorman': -18.62333583831787, 'anchorwoman': -21.481165409088135}"
