,political_prompt,correct,accurate,linguistically valid,grammatical,standard,articulate,natural,positive-metalinguistic
0,progressive,0.0216931861096825,0.0071876277200915994,0.01861840376422149,0.018420578014216937,0.025409099238851623,0.011526777475856953,0.020794678945118696,0.017664335895434258
1,liberal,0.024255685291520696,0.009750126901929796,0.021180902946059687,0.020983077196055137,0.027971598420689817,0.014089276657695151,0.023357178126956892,0.020226835077272454
2,progressive-group,0.0229744357006016,0.008468877311010696,0.019899653355140587,0.019701827605136037,0.026690348829770724,0.012808027066776053,0.022075928536037796,0.018945585486353354
3,conservative,0.04296178964289766,0.02845623125330675,0.03988700729743664,0.03968918154743209,0.04667770277206678,0.0327953810090721,0.04206328247833385,0.03893293942864941
4,inclusive,0.0023730535455070254,-0.012132504844083876,-0.0007017287999539862,-0.0008995545499585383,0.006088966674676147,-0.007793355088318521,0.0014745463809432225,-0.001655796668741218
5,avoid-misgendering,0.03200700789915361,0.017501449509562703,0.028932225553692598,0.02873439980368804,0.035722921028322724,0.021840599265328057,0.031108500734589803,0.027978157684905365
6,gender-continuum,-0.0015536652279722549,-0.016059223617563158,-0.004628447573433266,-0.004826273323437819,0.0021622479011968675,-0.011720073861797799,-0.0024521723925360578,-0.0055825154422204995
7,progressive-stance-group,0.010942132072229459,-0.003563426317361443,0.007867349726768447,0.007669523976763895,0.014658045201398582,0.0007757234384039116,0.010043624907665655,0.006913281857981215
8,traditional-values,0.013353036605652943,-0.0011525217839379574,0.010278254260191933,0.01008042851018738,0.017068949734822064,0.0031866279718273964,0.01245452944108914,0.0093241863914047
9,avoid-overly-PC,0.020837817314610606,0.006332258925019708,0.017763034969149598,0.017565209219145044,0.02455373044377973,0.010671408680785062,0.019939310150046807,0.016808967100362365
10,biological-differences,0.0010179460383578929,-0.013487612351233007,-0.0020568363071031184,-0.0022546620571076716,0.004733859167527016,-0.009148462595467652,0.00011943887379409046,-0.0030109041758903505
11,conservative-stance-group,0.011736266652873816,-0.002769291736717086,0.008661484307412804,0.00846365855740825,0.015452179782042936,0.0015698580190482683,0.010837759488310013,0.0077074164386255715
