context,p(reform)
accurate,0.03272460200680344
articulate,0.028385452251038078
avoid-misgendering,0.05022605151636614
avoid-overly-PC,0.03905686093182314
biological-differences,0.019236989655570427
conservative,0.06118083326011019
correct,0.018219043617212535
gender-continuum,0.016665378389240277
grammatical,0.021491651712678098
inclusive,0.02059209716271956
liberal,0.04247472890873323
linguistically valid,0.021293825962673544
natural,0.019117550781776335
progressive,0.03991222972689503
standard,0.014503130488043412
traditional-values,0.03157208022286548
