name,item,form_set,perm,way_of_asking,context,prompt_text,model,logprobs_dict
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -11.495609283447266, 'anchorman': -13.720140933990479, 'anchorwoman': -20.3939151763916}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -10.539948463439941, 'anchorman': -12.819739818572998, 'anchorwoman': -18.761911392211914}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -13.501265525817871, 'anchorman': -17.67015314102173, 'anchorwoman': -22.042945861816406}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -14.640563011169434, 'anchorman': -18.925102710723877, 'anchorwoman': -23.56676197052002}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -12.018704414367676, 'anchorman': -15.382956504821777, 'anchorwoman': -20.991206169128418}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -11.491546630859375, 'anchorman': -14.972535371780396, 'anchorwoman': -19.40158462524414}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -13.028833389282227, 'anchorman': -16.424638509750366, 'anchorwoman': -21.11460018157959}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -12.33182430267334, 'anchorman': -16.974059104919434, 'anchorwoman': -21.774019241333008}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -13.002694129943848, 'anchorman': -17.98937225341797, 'anchorwoman': -21.51600170135498}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -11.790410995483398, 'anchorman': -16.302621364593506, 'anchorwoman': -20.73890972137451}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -12.993103981018066, 'anchorman': -15.599897146224976, 'anchorwoman': -21.62454605102539}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -14.597814559936523, 'anchorman': -18.498832941055298, 'anchorwoman': -22.802477836608887}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -14.676321029663086, 'anchorman': -18.417078733444214, 'anchorwoman': -21.797558784484863}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -11.90454387664795, 'anchorman': -15.8077712059021, 'anchorwoman': -21.429810523986816}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -14.343689918518066, 'anchorman': -19.149617671966553, 'anchorwoman': -22.266757488250732}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-small,"{'anchor': -14.878769874572754, 'anchorman': -18.743152379989624, 'anchorwoman': -22.25703477859497}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-small,"{'flight attendant': -20.21737289428711, 'steward': -10.795063495635986, 'stewardess': -12.629339249338955}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-small,"{'flight attendant': -17.78859043121338, 'steward': -10.872891940176487, 'stewardess': -12.771723457321059}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-small,"{'flight attendant': -21.131454944610596, 'steward': -13.375363767147064, 'stewardess': -14.954521180363372}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-small,"{'flight attendant': -23.15229845046997, 'steward': -13.501343809068203, 'stewardess': -15.169444884522818}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-small,"{'flight attendant': -21.62208652496338, 'steward': -13.09609067440033, 'stewardess': -14.810705102281645}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-small,"{'flight attendant': -18.77251434326172, 'steward': -11.277832997962832, 'stewardess': -12.871720101102255}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-small,"{'flight attendant': -20.59889268875122, 'steward': -12.11104229465127, 'stewardess': -13.820208770339377}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-small,"{'flight attendant': -19.405063152313232, 'steward': -10.697610728442669, 'stewardess': -12.472575463645626}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-small,"{'flight attendant': -17.414642572402954, 'steward': -11.263155158609152, 'stewardess': -13.107314686232712}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-small,"{'flight attendant': -20.142837047576904, 'steward': -9.734005890786648, 'stewardess': -11.719031032931525}"
