index,name,item,form_set,perm,way_of_asking,context,prompt_text
0,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
1,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
2,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
3,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
4,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
5,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
6,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
7,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
8,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
9,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
10,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
11,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
12,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
13,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
14,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
15,Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",N/A,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is an ____."" is [FORM]"
