context,p(reform)
accurate,0.25577827451021334
articulate,0.23715475945257555
avoid-misgendering,0.3885658968954309
avoid-overly-PC,0.22355231608081544
biological-differences,0.24387959342423746
conservative,0.20661793891620128
correct,0.2119608009527575
gender-continuum,0.4104275690038713
grammatical,0.19834113725051855
inclusive,0.37233320517435503
liberal,0.24963524805284037
linguistically valid,0.20395216755065823
natural,0.1997770633235771
progressive,0.26789207372209056
standard,0.2096519916569881
traditional-values,0.19192812335125042
