,political_prompt,correct,accurate,linguistically valid,grammatical,standard,articulate,natural,positive-metalinguistic
0,progressive,0.13858935055069224,0.11382341333566728,0.2027980861245407,0.18009806068425552,0.13891155245941203,0.0806093852506839,0.184238065685757,0.14843827344157265
1,liberal,0.0601702337961207,0.035404296581095736,0.12437896936996913,0.10167894392968395,0.060492435704840475,0.0021902684961123227,0.10581894893118543,0.07001915668700111
2,progressive-group,0.09937979217340648,0.0746138549583815,0.1635885277472549,0.14088850230696973,0.09970199408212627,0.04139982687339811,0.14502850730847122,0.1092287150642869
3,conservative,-0.10276485822462535,-0.1275307954396503,-0.03855612265077692,-0.0612561480910621,-0.10244265631590556,-0.16074482352463373,-0.05711614308956062,-0.09291593533374495
4,inclusive,0.3501214577917856,0.32535552057676065,0.414330193365634,0.3916301679253488,0.3504436597005054,0.29214149249177723,0.39577017292685035,0.35997038068266607
5,avoid-misgendering,0.39243398780133604,0.367668050586311,0.4566427233751844,0.43394269793489926,0.39275618971005577,0.3344540225013276,0.43808270293640067,0.4022829106922164
6,gender-continuum,0.2701227048061575,0.2453567675911326,0.33433144038000595,0.3116314149397208,0.2704449067148773,0.21214273950614917,0.31577141994122226,0.27997162769703793
7,progressive-stance-group,0.33755938346642633,0.31279344625140143,0.4017681190402748,0.37906809359998966,0.3378815853751462,0.27957941816641796,0.38320809860149113,0.3474083063573068
8,traditional-values,-0.09836666544718492,-0.12313260266220988,-0.034157929873336476,-0.056857955313621665,-0.09804446353846512,-0.1563466307471933,-0.05271795031212017,-0.0885177425563045
9,avoid-overly-PC,0.03329866016047448,0.008532722945449519,0.09750739573432292,0.07480737029403774,0.03362086206919427,-0.0246813051395339,0.0789473752955392,0.043147583051354896
10,biological-differences,-0.0753987407327911,-0.10016467794781607,-0.011190005158942673,-0.03389003059922785,-0.07507653882407132,-0.13337870603279947,-0.029750025597726364,-0.0655498178419107
11,conservative-stance-group,-0.04682224867316718,-0.07158818588819213,0.017386486900681255,-0.0053135385396039245,-0.04650004676444739,-0.10480221397317555,-0.001173533538102441,-0.036973325782286764
