,political_prompt,correct,accurate,linguistically valid,grammatical,standard,articulate,natural,positive-metalinguistic
0,progressive,0.15284124130493315,0.12517181967080085,0.13083409483560285,0.15191167619002482,0.11648402111636774,0.1015690394554423,0.11716745240937058,0.12799704928322034
1,liberal,0.16542973263532074,0.13776031100118843,0.1434225861659904,0.1645001675204124,0.12907251244675533,0.11415753078582988,0.12975594373975816,0.14058554061360792
2,progressive-group,0.15913548697012697,0.13146606533599464,0.13712834050079664,0.15820592185521862,0.12277826678156152,0.10786328512063609,0.12346169807456438,0.13429129494841413
3,conservative,0.12611077125639436,0.09844134962226203,0.10410362478706402,0.125181206141486,0.08975355106782892,0.07483856940690348,0.09043698236083174,0.10126657923468152
4,inclusive,0.07348858627834788,0.04581916464421556,0.051481439809017544,0.07255902116343953,0.03713136608978245,0.022216384428857,0.03781479738278528,0.04864439425663503
5,avoid-misgendering,0.15593209639059416,0.12826267475646183,0.13392494992126383,0.1550025312756858,0.11957487620202872,0.10465989454110329,0.12025830749503158,0.13108790436888132
6,gender-continuum,0.08554299061502718,0.057873568980894866,0.06353584414569685,0.08461342550011881,0.04918577042646175,0.034270788765536304,0.04986920171946459,0.060698798593314326
7,progressive-stance-group,0.10498789109465641,0.07731846946052409,0.08298074462532608,0.10405832597974804,0.06863067090609098,0.053715689245165524,0.06931410219909381,0.08014369907294355
8,traditional-values,0.060216596054690985,0.03254717442055866,0.03820944958536064,0.059287030939782624,0.02385937586612554,0.0089443942052001,0.024542807159128373,0.03537240403297812
9,avoid-overly-PC,0.08378477727549212,0.056115355641359804,0.06177763080616179,0.08285521216058378,0.0474275570869267,0.03251257542600125,0.048110988379929526,0.05894058525377928
10,biological-differences,0.11764039753009195,0.08997097589595963,0.09563325106076162,0.1167108324151836,0.08128317734152653,0.06636819568060107,0.08196660863452934,0.0927962055083791
11,conservative-stance-group,0.08721392362009169,0.059544501985959356,0.06520677715076136,0.08628435850518333,0.05085670343152625,0.0359417217706008,0.05154013472452908,0.062369731598378844
