,political_prompt,correct,accurate,linguistically valid,grammatical,standard,articulate,natural,positive-metalinguistic
0,progressive,-0.0398861959361351,-0.022158109487074685,-0.03466053948250475,-0.009985661929327596,-0.03547651865847106,0.0019913054524122163,-0.00829338952859433,-0.02120987279567076
1,liberal,-0.04254939050500475,-0.024821304055944335,-0.037323734051374395,-0.012648856498197239,-0.03813971322734071,-0.000671889116457426,-0.010956584097463971,-0.023873067364540406
2,progressive-group,-0.04121779322056992,-0.023489706771509508,-0.035992136766939575,-0.011317259213762419,-0.03680811594290589,0.0006597081679773956,-0.009624986813029151,-0.022541470080105583
3,conservative,-0.040898610548330244,-0.023170524099269826,-0.035672954094699894,-0.010998076541522734,-0.0364889332706662,0.000978890840217078,-0.009305804140789466,-0.022222287407865898
4,inclusive,0.006445563766576454,0.02417365021563687,0.011671220220206805,0.03634609777338396,0.010855241044240498,0.04832306515512377,0.03803837017411723,0.0251218869070408
5,avoid-misgendering,-0.0584464575480568,-0.04071837109899639,-0.05322080109442646,-0.0285459235412493,-0.05403678027039277,-0.016568956159509488,-0.026853651140516032,-0.039770134407592465
6,gender-continuum,-0.028763212267855953,-0.011035125818795533,-0.023537555814225605,0.001137321738951559,-0.024353534990191904,0.01311428912069137,0.0028295941396848257,-0.010086889127391606
7,progressive-stance-group,-0.026921368683112103,-0.009193282234051685,-0.02169571222948175,0.002979165323695408,-0.02251169140544806,0.01495613270543522,0.0046714377244286755,-0.008245045542647756
8,traditional-values,0.004953278769974702,0.02268136521903512,0.010178935223605055,0.03485381277678221,0.009362956047638746,0.046830780158522024,0.03654608517751548,0.023629601910439044
9,avoid-overly-PC,0.001786685959914145,0.019514772408974562,0.007012342413544494,0.03168721996672166,0.006196363237578189,0.04366418734846146,0.033379492367454924,0.02046300910037849
10,biological-differences,0.006797963690890367,0.02452605013995078,0.012023620144520719,0.036698497697697875,0.011207640968554412,0.04867546507943769,0.03839077009843114,0.02547428683135471
11,conservative-stance-group,0.004512642806926404,0.022240729255986816,0.009738299260556756,0.03441317681373391,0.008922320084590447,0.04639014419547372,0.03610544921446718,0.023188965947390745
