context,p(reform)
accurate,0.29682383181260696
articulate,0.28753183214071726
avoid-misgendering,0.2919839105299342
avoid-overly-PC,0.27239699533304645
biological-differences,0.294441302941034
conservative,0.2387085363842861
correct,0.26575378178062753
gender-continuum,0.30235803005829365
grammatical,0.244280525580815
inclusive,0.3331135834762439
liberal,0.27832383806237804
linguistically valid,0.2549780918638384
natural,0.2811588266009181
progressive,0.2855977489394377
standard,0.3008362489479026
traditional-values,0.2824398187074702
