name,item,form_set,perm,way_of_asking,context,prompt_text,model,logprobs_dict
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3-8B,"{'anchor': -11.039928436279297, 'anchorman': -13.81311970949173, 'anchorwoman': -14.792711734771729}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3-8B,"{'anchor': -11.762582778930664, 'anchorman': -14.656057119369507, 'anchorwoman': -14.886369228363037}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3-8B,"{'anchor': -12.152926445007324, 'anchorman': -14.902782440185547, 'anchorwoman': -15.767427921295166}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3-8B,"{'anchor': -11.325844764709473, 'anchorman': -14.487786948680878, 'anchorwoman': -14.923015117645264}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3-8B,"{'anchor': -12.053081512451172, 'anchorman': -14.882597208023071, 'anchorwoman': -15.939533710479736}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3-8B,"{'anchor': -13.53976058959961, 'anchorman': -15.898981213569641, 'anchorwoman': -17.716097831726074}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3-8B,"{'anchor': -11.70040512084961, 'anchorman': -14.681714296340942, 'anchorwoman': -15.411921501159668}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3-8B,"{'anchor': -16.305477142333984, 'anchorman': -17.98551255464554, 'anchorwoman': -20.836942672729492}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3-8B,"{'anchor': -16.103609085083008, 'anchorman': -17.98850604891777, 'anchorwoman': -20.827905654907227}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3-8B,"{'anchor': -15.219768524169922, 'anchorman': -17.098268374800682, 'anchorwoman': -20.174092292785645}"
