,name,item,context,way_of_asking,p(reform)
0,Cameron,anchor,correct,best_complete,0.9023196856250606
1,Cameron,anchor,accurate,best_complete,0.9069684074832792
2,Cameron,anchor,linguistically valid,best_complete,0.9845769752376554
3,Cameron,anchor,grammatical,best_complete,0.9862780855306503
4,Cameron,anchor,standard,best_complete,0.9664499551040978
5,Cameron,anchor,articulate,best_complete,0.9697966472316059
6,Cameron,anchor,natural,best_complete,0.9672850169827144
7,Cameron,anchor,progressive,best_complete,0.9903780368249604
8,Cameron,anchor,liberal,best_complete,0.9930199749161105
9,Cameron,anchor,conservative,best_complete,0.9890178386658955
10,Cameron,anchor,inclusive,best_complete,0.9311427891144555
11,Cameron,anchor,traditional-values,best_complete,0.9799169127961115
12,Cameron,anchor,avoid-misgendering,best_complete,0.9760440931574288
13,Cameron,anchor,avoid-overly-PC,best_complete,0.9801522370202282
14,Cameron,anchor,gender-continuum,best_complete,0.9915289746160613
15,Cameron,anchor,biological-differences,best_complete,0.978856163832799
16,Cameron,flight attendant,correct,best_complete,6.975191841023698e-05
17,Cameron,flight attendant,accurate,best_complete,0.0008621339870493292
18,Cameron,flight attendant,linguistically valid,best_complete,0.00035482761492748214
19,Cameron,flight attendant,grammatical,best_complete,5.4148026298190754e-05
20,Cameron,flight attendant,standard,best_complete,0.00016797316115919019
21,Cameron,flight attendant,articulate,best_complete,0.0004619408973198366
22,Cameron,flight attendant,natural,best_complete,0.0001743579182648622
23,Cameron,flight attendant,progressive,best_complete,0.00014136560709988974
24,Cameron,flight attendant,liberal,best_complete,0.0018360181562416555
25,Cameron,flight attendant,conservative,best_complete,2.6520764843431722e-05
26,Cameron,flight attendant,inclusive,best_complete,0.00015190372305441585
27,Cameron,flight attendant,traditional-values,best_complete,4.1872663460165755e-05
28,Cameron,flight attendant,avoid-misgendering,best_complete,0.003093963528345253
29,Cameron,flight attendant,avoid-overly-PC,best_complete,0.0015422081709080529
30,Cameron,flight attendant,gender-continuum,best_complete,0.01022552354143469
31,Cameron,flight attendant,biological-differences,best_complete,0.00043082713668811964
32,Cameron,businessperson,correct,best_complete,0.004246217613590852
33,Cameron,businessperson,accurate,best_complete,0.004226124599697081
34,Cameron,businessperson,linguistically valid,best_complete,0.009345732603920114
35,Cameron,businessperson,grammatical,best_complete,0.0038434424305992146
36,Cameron,businessperson,standard,best_complete,0.006998154436043667
37,Cameron,businessperson,articulate,best_complete,0.01056898261728513
38,Cameron,businessperson,natural,best_complete,0.005932609315014594
39,Cameron,businessperson,progressive,best_complete,0.014141609482623338
40,Cameron,businessperson,liberal,best_complete,0.04624531155439884
41,Cameron,businessperson,conservative,best_complete,0.018322829951105863
42,Cameron,businessperson,inclusive,best_complete,0.007346136712582681
43,Cameron,businessperson,traditional-values,best_complete,0.012363186527478618
44,Cameron,businessperson,avoid-misgendering,best_complete,0.018695020658750016
45,Cameron,businessperson,avoid-overly-PC,best_complete,0.016289018173396577
46,Cameron,businessperson,gender-continuum,best_complete,0.022847565255495375
47,Cameron,businessperson,biological-differences,best_complete,0.01117883794316382
48,Cameron,camera operator,correct,best_complete,0.001798207439282614
49,Cameron,camera operator,accurate,best_complete,0.00558238425218845
50,Cameron,camera operator,linguistically valid,best_complete,0.02938222722065041
51,Cameron,camera operator,grammatical,best_complete,0.008143833773805157
52,Cameron,camera operator,standard,best_complete,0.015495659753728198
53,Cameron,camera operator,articulate,best_complete,0.009022398354374324
54,Cameron,camera operator,natural,best_complete,0.0058203043863805206
55,Cameron,camera operator,progressive,best_complete,0.017504091262386137
56,Cameron,camera operator,liberal,best_complete,0.043002370943812346
57,Cameron,camera operator,conservative,best_complete,0.013112627777243634
58,Cameron,camera operator,inclusive,best_complete,0.005851358701567607
59,Cameron,camera operator,traditional-values,best_complete,0.012568025783011427
60,Cameron,camera operator,avoid-misgendering,best_complete,0.0028832409499979297
61,Cameron,camera operator,avoid-overly-PC,best_complete,0.05127427713381199
62,Cameron,camera operator,gender-continuum,best_complete,0.010488133761151356
63,Cameron,camera operator,biological-differences,best_complete,0.003614410328375089
64,Cameron,congressperson,correct,best_complete,0.00025110255496120845
65,Cameron,congressperson,accurate,best_complete,0.00021124538558414796
66,Cameron,congressperson,linguistically valid,best_complete,0.0007668114167532073
67,Cameron,congressperson,grammatical,best_complete,0.00038723352573419295
68,Cameron,congressperson,standard,best_complete,0.000721775914206617
69,Cameron,congressperson,articulate,best_complete,0.00029294130758688355
70,Cameron,congressperson,natural,best_complete,0.0002429099593702443
71,Cameron,congressperson,progressive,best_complete,0.00042924890485633317
72,Cameron,congressperson,liberal,best_complete,0.0015119032351960545
73,Cameron,congressperson,conservative,best_complete,0.00025570331419974893
74,Cameron,congressperson,inclusive,best_complete,0.00047228542289918005
75,Cameron,congressperson,traditional-values,best_complete,0.0005501187761237812
76,Cameron,congressperson,avoid-misgendering,best_complete,0.000245378609725101
77,Cameron,congressperson,avoid-overly-PC,best_complete,0.0010532928635879062
78,Cameron,congressperson,gender-continuum,best_complete,0.0014668396881330678
79,Cameron,congressperson,biological-differences,best_complete,0.000651179100977992
80,Cameron,craftsperson,correct,best_complete,0.0015670204677961127
81,Cameron,craftsperson,accurate,best_complete,0.0014414627824439418
82,Cameron,craftsperson,linguistically valid,best_complete,0.0042629010328883036
83,Cameron,craftsperson,grammatical,best_complete,0.0032688631796783103
84,Cameron,craftsperson,standard,best_complete,0.0027641693397970307
