context,p(reform)
accurate,0.05641919054079647
articulate,0.08674697989702429
avoid-misgendering,0.22022296734675773
avoid-overly-PC,0.06280646162864255
biological-differences,0.026659257476984034
conservative,0.06510454887327295
correct,0.0600418885959838
gender-continuum,0.15520232921204552
grammatical,0.05388395646459473
inclusive,0.11600258995672849
liberal,0.08310999613596622
linguistically valid,0.05910430461025902
natural,0.059162780585448445
progressive,0.0786250007727317
standard,0.07164807800466365
traditional-values,0.05273389233770943
