,name,item,context,way_of_asking,p(reform)
32,Cameron,businessperson,correct,best_complete,0.07601134199686994
33,Cameron,businessperson,accurate,best_complete,0.09059438353787329
34,Cameron,businessperson,linguistically valid,best_complete,0.04877061883000369
35,Cameron,businessperson,grammatical,best_complete,0.03871820540018344
36,Cameron,businessperson,standard,best_complete,0.09880794885635628
37,Cameron,businessperson,articulate,best_complete,0.12143249464025856
38,Cameron,businessperson,natural,best_complete,0.0709984284201281
39,Cameron,businessperson,progressive,best_complete,0.09757937353739682
40,Cameron,businessperson,liberal,best_complete,0.08047181487963401
41,Cameron,businessperson,conservative,best_complete,0.06740528562864366
42,Cameron,businessperson,inclusive,best_complete,0.1129456610645362
43,Cameron,businessperson,traditional-values,best_complete,0.06372902405200706
44,Cameron,businessperson,avoid-misgendering,best_complete,0.06109372959373828
45,Cameron,businessperson,avoid-overly-PC,best_complete,0.07222879745711398
46,Cameron,businessperson,gender-continuum,best_complete,0.05528673583399024
47,Cameron,businessperson,biological-differences,best_complete,0.051281101628920904
48,Cameron,camera operator,correct,best_complete,0.010223343412501197
49,Cameron,camera operator,accurate,best_complete,0.012732960325992625
50,Cameron,camera operator,linguistically valid,best_complete,0.006369518217555072
51,Cameron,camera operator,grammatical,best_complete,0.005213015162256255
52,Cameron,camera operator,standard,best_complete,0.009827173530726213
53,Cameron,camera operator,articulate,best_complete,0.011996218749939698
54,Cameron,camera operator,natural,best_complete,0.00811387125236068
55,Cameron,camera operator,progressive,best_complete,0.015332509289452421
56,Cameron,camera operator,liberal,best_complete,0.006656181441375463
57,Cameron,camera operator,conservative,best_complete,0.009885970492496171
58,Cameron,camera operator,inclusive,best_complete,0.02032913140921118
59,Cameron,camera operator,traditional-values,best_complete,0.020317255447238048
60,Cameron,camera operator,avoid-misgendering,best_complete,0.00967007234447609
61,Cameron,camera operator,avoid-overly-PC,best_complete,0.006113257606304788
62,Cameron,camera operator,gender-continuum,best_complete,0.020325009348603748
63,Cameron,camera operator,biological-differences,best_complete,0.028267179717327416
64,Cameron,congressperson,correct,best_complete,0.001974201273331743
65,Cameron,congressperson,accurate,best_complete,0.0023888819432699463
66,Cameron,congressperson,linguistically valid,best_complete,0.0014936856694453987
67,Cameron,congressperson,grammatical,best_complete,0.001359384286410518
68,Cameron,congressperson,standard,best_complete,0.0023490375027596204
69,Cameron,congressperson,articulate,best_complete,0.002946631276287437
70,Cameron,congressperson,natural,best_complete,0.0017925137443880503
71,Cameron,congressperson,progressive,best_complete,0.0024887927334950625
72,Cameron,congressperson,liberal,best_complete,0.004403336662973118
73,Cameron,congressperson,conservative,best_complete,0.002304537650153417
74,Cameron,congressperson,inclusive,best_complete,0.002935500248573533
75,Cameron,congressperson,traditional-values,best_complete,0.0018362577194083643
76,Cameron,congressperson,avoid-misgendering,best_complete,0.003538997232240638
77,Cameron,congressperson,avoid-overly-PC,best_complete,0.0018086552882367805
78,Cameron,congressperson,gender-continuum,best_complete,0.0019427502893706729
79,Cameron,congressperson,biological-differences,best_complete,0.00210249696804709
80,Cameron,craftsperson,correct,best_complete,0.01742311266714035
81,Cameron,craftsperson,accurate,best_complete,0.021638898858944555
82,Cameron,craftsperson,linguistically valid,best_complete,0.012872219545160329
83,Cameron,craftsperson,grammatical,best_complete,0.012451240364894275
84,Cameron,craftsperson,standard,best_complete,0.018412420484172305
85,Cameron,craftsperson,articulate,best_complete,0.029144534984825676
86,Cameron,craftsperson,natural,best_complete,0.01599271973995577
87,Cameron,craftsperson,progressive,best_complete,0.02122179614747145
