,political_prompt,correct,accurate,linguistically valid,grammatical,standard,articulate,natural,positive-metalinguistic
0,progressive,0.01984396715881016,-0.011226082873169256,0.030619657075599285,0.041317223358622646,-0.015238500008464967,-0.001934083201279598,0.004438922338519519,0.009688729121233967
1,liberal,0.0125700562817505,-0.018499993750228913,0.023345746198539626,0.034043312481563,-0.022512410885524626,-0.009207994078339258,-0.0028349885385401397,0.0024148182441743097
2,progressive-group,0.01620701172028033,-0.014863038311699084,0.02698270163706945,0.037680267920092825,-0.018875455446994798,-0.00557103863980943,0.000801966899989689,0.006051773682704139
3,conservative,-0.027045245396341424,-0.058115295428320835,-0.016269555479552295,-0.005571989196528927,-0.06212771256361653,-0.04882329575643118,-0.042450290216632054,-0.03720048343391761
4,inclusive,0.06735980169561637,0.03628975166363696,0.0781354916124055,0.08883305789542886,0.03227733452834125,0.04558175133552662,0.05195475687532574,0.057204563658040185
5,avoid-misgendering,0.026230128749306685,-0.004839921282672726,0.03700581866609581,0.04770338494911918,-0.008852338417968437,0.00445207838921693,0.010825083929016049,0.0160748907117305
6,gender-continuum,0.03660424827766611,0.0055341982456867025,0.04737993819445525,0.05807750447747861,0.0015217811103909902,0.01482619791757636,0.021199203457375474,0.026449010240089926
7,progressive-stance-group,0.043398059574196395,0.012328009542216979,0.054173749490985516,0.0648713157740089,0.008315592406921266,0.021620009214106634,0.027993014753905754,0.033242821536620205
8,traditional-values,0.016686036926842663,-0.014384013105136748,0.027461726843631788,0.038159293126655155,-0.018396430240432457,-0.00509201343324709,0.0012809921065520266,0.0065307988892664755
9,avoid-overly-PC,0.006643213552418919,-0.024426836479560492,0.017418903469208047,0.02811646975223141,-0.028439253614856205,-0.015134836807670835,-0.008761831267871719,-0.0035120244851572693
10,biological-differences,0.02868752116040649,-0.0023825288715729176,0.03946321107719562,0.05016077736021898,-0.00639494600686863,0.006909470800316739,0.013282476340115857,0.018532283122830305
11,conservative-stance-group,0.01733892387988936,-0.013731126152090054,0.028114613796678484,0.03881218007970185,-0.017743543287385765,-0.004439126480200397,0.001933879059598721,0.00718368584231317
