,political_prompt,correct,accurate,linguistically valid,grammatical,standard,articulate,natural,positive-metalinguistic
0,progressive,0.07880179604478646,-0.022446125547854325,0.09104893792578168,0.09480623282478794,0.06882051614236383,0.030752830567611574,0.06703134925090065,0.058402219601196834
1,liberal,0.05698956767808342,-0.04425835391455735,0.06923670955907867,0.07299400445808492,0.0470082877756608,0.00894060220090855,0.04521912088419763,0.0365899912344938
2,progressive-group,0.06789568186143494,-0.03335223973120584,0.08014282374243017,0.08390011864143643,0.05791440195901231,0.019846716384260065,0.05612523506754915,0.04749610541784532
3,conservative,-0.009053053732983133,-0.11030097532562393,0.003194088148012099,0.006951383047018343,-0.01903433363540576,-0.05710201921015801,-0.02082350052686893,-0.02945263017657276
4,inclusive,0.14619578658480945,0.044947864992168664,0.15844292846580466,0.16220022336481094,0.13621450668238683,0.09814682110763455,0.13442533979092366,0.1257962101412198
5,avoid-misgendering,0.014889497485173254,-0.08635842410746752,0.02713663936616849,0.030893934265174738,0.004908217582750627,-0.033159467992001625,0.0031190506912874604,-0.0055100789584163696
6,gender-continuum,0.030275769188475035,-0.07097215240416574,0.04252291106947027,0.04628020596847651,0.020294489286052413,-0.01777319628869984,0.018505322394589248,0.009876192744885416
7,progressive-stance-group,0.06378701775281925,-0.037460903839821535,0.07603415963381448,0.07979145453282072,0.05380573785039663,0.015738052275644367,0.052016570958933445,0.04338744130922962
8,traditional-values,-0.01753776048381864,-0.11878568207645941,-0.005290618602823407,-0.001533323703817164,-0.027519040386241266,-0.06558672596099352,-0.02930820727770443,-0.03793733692740827
9,avoid-overly-PC,-0.04746815488622996,-0.14871607647887078,-0.035221013005234725,-0.031463718106228486,-0.05744943478865258,-0.09551712036340483,-0.05923860168011574,-0.06786773132981959
10,biological-differences,-0.07277277068365377,-0.17402069227629455,-0.06052562880265855,-0.0567683339036523,-0.08275405058607642,-0.12082173616082865,-0.08454321747753958,-0.0931723471272434
11,conservative-stance-group,-0.045926228684567465,-0.14717415027720823,-0.03367908680357223,-0.02992179190456599,-0.05590750858699008,-0.09397519416174234,-0.05769667547845325,-0.06632580512815708
