,political_prompt,correct,accurate,linguistically valid,grammatical,standard,articulate,natural,positive-metalinguistic
0,progressive,0.03744052366450453,0.0380509638492331,0.031539205798088624,0.05532414895675919,0.05224012692194535,0.025456216960260077,0.05392446907898655,0.0419965221756825
1,liberal,0.06501643491155232,0.06562687509628089,0.059115117045136424,0.08290006020380698,0.07981603816899314,0.05303212820730787,0.08150038032603434,0.06957243342273028
2,progressive-group,0.05122847928802843,0.051838919472757,0.04532716142161253,0.06911210458028309,0.06602808254546925,0.03924417258378397,0.06771242470251045,0.05578447779920639
3,conservative,0.02787463574872183,0.028485075933450395,0.021973317882305925,0.045758261040976494,0.04267423900616265,0.015890329044477375,0.04435858116320385,0.03243063425989979
4,inclusive,0.0014280358739111087,0.0020384760586396734,-0.004473281992504796,0.019311661166165766,0.016227639131351928,-0.010556270830333347,0.01791198128839312,0.005984034385089066
5,avoid-misgendering,0.023156490084727224,0.02376693026945579,0.01725517221831132,0.041040115376981885,0.03795609334216805,0.011172183380482767,0.03964043549920924,0.027712488595905183
6,gender-continuum,0.08245588541189695,0.08306632559662552,0.07655456754548105,0.1003395107041516,0.09725548866933778,0.0704715787076525,0.09893983082637897,0.0870118839230749
7,progressive-stance-group,0.035680137123511764,0.03629057730824033,0.029778819257095857,0.05356376241576643,0.050479740380952584,0.023695830419267306,0.052164082537993775,0.040236135634689724
8,traditional-values,-0.001786388201517643,-0.0011759480167890773,-0.007687706067933547,0.016097237090737015,0.01301321505592318,-0.0137706949057621,0.014697557212964368,0.0027696103096603135
9,avoid-overly-PC,-0.0032744162937017986,-0.002663976108973234,-0.009175734160117703,0.01460920899855286,0.011525186963739022,-0.015258722997946256,0.013209529120780212,0.0012815822174761567
10,biological-differences,0.04015978688308394,0.040770227067812505,0.034258469016668035,0.058043412175338614,0.05495939014052476,0.028175480178839484,0.05664373229756595,0.0447157853942619
11,conservative-stance-group,0.011699660795954834,0.012310100980683402,0.005798342929538929,0.02958328608820949,0.026499264053395657,-0.000284645908289622,0.028183606210436845,0.01625565930713279
