context,p(reform)
accurate,0.43134504959783404
articulate,0.37814609348236816
avoid-misgendering,0.34498662549036657
avoid-overly-PC,0.28262897311896334
biological-differences,0.2573243573215395
conservative,0.32104407427221016
correct,0.3300971280051933
gender-continuum,0.36037289719366833
grammatical,0.3140926912251918
inclusive,0.4762929145900027
liberal,0.3870866956832767
linguistically valid,0.31784998612419807
natural,0.34186757479907914
progressive,0.40889892404997974
standard,0.3400784079076159
traditional-values,0.31255936752137464
