,name,item,context,way_of_asking,p(reform)
0,Cameron,ball person,correct,best_complete,0.0014789262597723553
1,Cameron,ball person,accurate,best_complete,0.003494925098972923
2,Cameron,ball person,linguistically valid,best_complete,0.0008017052051962021
3,Cameron,ball person,grammatical,best_complete,0.0008056009526711448
4,Cameron,ball person,standard,best_complete,0.0015145165830505092
5,Cameron,ball person,articulate,best_complete,0.006104841670399608
6,Cameron,ball person,natural,best_complete,0.0014657654636198848
7,Cameron,ball person,progressive,best_complete,0.011421945036155179
8,Cameron,ball person,liberal,best_complete,0.007471229612776427
9,Cameron,ball person,conservative,best_complete,0.012013582032314113
10,Cameron,ball person,inclusive,best_complete,0.008296049081932207
11,Cameron,ball person,traditional-values,best_complete,0.0009164092585005146
12,Cameron,ball person,avoid-misgendering,best_complete,0.21191801406103916
13,Cameron,ball person,avoid-overly-PC,best_complete,0.004406776049812066
14,Cameron,ball person,gender-continuum,best_complete,0.1376093896166638
15,Cameron,ball person,biological-differences,best_complete,0.006310203831505642
16,Cameron,bartender,correct,best_complete,0.9766794716260426
17,Cameron,bartender,accurate,best_complete,0.9852269121964866
18,Cameron,bartender,linguistically valid,best_complete,0.9580792602601915
19,Cameron,bartender,grammatical,best_complete,0.9790587924836475
20,Cameron,bartender,standard,best_complete,0.9676415714343887
21,Cameron,bartender,articulate,best_complete,0.9629563220386772
22,Cameron,bartender,natural,best_complete,0.9643196414267794
23,Cameron,bartender,progressive,best_complete,0.9799319405001049
24,Cameron,bartender,liberal,best_complete,0.9664961037838345
25,Cameron,bartender,conservative,best_complete,0.9573446020164901
26,Cameron,bartender,inclusive,best_complete,0.9836677871409552
27,Cameron,bartender,traditional-values,best_complete,0.92627925789058
28,Cameron,bartender,avoid-misgendering,best_complete,0.9547649461970916
29,Cameron,bartender,avoid-overly-PC,best_complete,0.9567931737552243
30,Cameron,bartender,gender-continuum,best_complete,0.842933057845701
31,Cameron,bartender,biological-differences,best_complete,0.9721202737537926
32,Cameron,caveperson,correct,best_complete,0.005001407222898953
33,Cameron,caveperson,accurate,best_complete,0.008099965109820936
34,Cameron,caveperson,linguistically valid,best_complete,0.009296054012535044
35,Cameron,caveperson,grammatical,best_complete,0.0046141034761128805
36,Cameron,caveperson,standard,best_complete,0.0076151048264515115
37,Cameron,caveperson,articulate,best_complete,0.05937705878203605
38,Cameron,caveperson,natural,best_complete,0.006851180835355645
39,Cameron,caveperson,progressive,best_complete,0.016882171643417408
40,Cameron,caveperson,liberal,best_complete,0.007280355451575555
41,Cameron,caveperson,conservative,best_complete,0.0171589950048743
42,Cameron,caveperson,inclusive,best_complete,0.08177278237033972
43,Cameron,caveperson,traditional-values,best_complete,0.009120754895466255
44,Cameron,caveperson,avoid-misgendering,best_complete,0.09510334908804328
45,Cameron,caveperson,avoid-overly-PC,best_complete,0.02365515538674913
46,Cameron,caveperson,gender-continuum,best_complete,0.10907209773467749
47,Cameron,caveperson,biological-differences,best_complete,0.049353987400064595
48,Cameron,cow herder,correct,best_complete,0.0005285718179994897
49,Cameron,cow herder,accurate,best_complete,0.0006108222647641244
50,Cameron,cow herder,linguistically valid,best_complete,0.00019558533069531205
51,Cameron,cow herder,grammatical,best_complete,0.00046322308549945736
52,Cameron,cow herder,standard,best_complete,0.00028646523391192684
53,Cameron,cow herder,articulate,best_complete,0.0008087085813430588
54,Cameron,cow herder,natural,best_complete,0.0003446009386949422
55,Cameron,cow herder,progressive,best_complete,9.636784532434092e-05
56,Cameron,cow herder,liberal,best_complete,0.00010085046661700977
57,Cameron,cow herder,conservative,best_complete,4.974317439228171e-05
58,Cameron,cow herder,inclusive,best_complete,0.0002854413704414693
59,Cameron,cow herder,traditional-values,best_complete,0.0002027761234201233
60,Cameron,cow herder,avoid-misgendering,best_complete,0.00017358065239966728
61,Cameron,cow herder,avoid-overly-PC,best_complete,0.00020461858002411438
62,Cameron,cow herder,gender-continuum,best_complete,4.643390980403335e-05
63,Cameron,cow herder,biological-differences,best_complete,9.794216149182972e-05
64,Cameron,emergency medical technician,correct,best_complete,0.8337504266751763
65,Cameron,emergency medical technician,accurate,best_complete,0.9714399632174979
66,Cameron,emergency medical technician,linguistically valid,best_complete,0.9201166523683936
67,Cameron,emergency medical technician,grammatical,best_complete,0.9167234927239565
68,Cameron,emergency medical technician,standard,best_complete,0.9419408926292749
