context,p(reform)
accurate,0.2948091480863304
articulate,0.26016820733540863
avoid-misgendering,0.36126026208668927
avoid-overly-PC,0.2863882668895285
biological-differences,0.23295622883805475
conservative,0.22186525383714747
correct,0.27717123555349227
gender-continuum,0.29412387957039277
grammatical,0.25669518650343426
inclusive,0.3688573556476069
liberal,0.23652057254184897
linguistically valid,0.25206118268801264
natural,0.2664856862486255
progressive,0.23822646751707569
standard,0.2701262874004209
traditional-values,0.22406755156491479
