context,p(reform)
accurate,0.3622942380390563
articulate,0.31038850973833126
avoid-misgendering,0.44579862198197123
avoid-overly-PC,0.29614764394109205
biological-differences,0.31002589456373103
conservative,0.26690576902880236
correct,0.302039489581108
gender-continuum,0.4503384101526343
grammatical,0.2874223191373037
inclusive,0.4454995660784048
liberal,0.30060162268815216
linguistically valid,0.3009566578223314
natural,0.2929695140819923
progressive,0.31509900843315386
standard,0.31287837012048997
traditional-values,0.2583806915399617
