,political_prompt,correct,accurate,linguistically valid,grammatical,standard,articulate,natural,positive-metalinguistic
0,progressive,0.0567797344143947,0.06921894890343691,0.04952123770821398,0.06179294787329859,0.037252882412344625,0.06474033442052411,0.07699672832645886,0.05947183057981025
1,liberal,0.06902220431897237,0.08146141880801458,0.061763707612791645,0.07403541777787626,0.04949535231692231,0.07698280432510178,0.08923919823103654,0.07171430048438791
2,progressive-group,0.06290096936668353,0.07534018385572575,0.055642472660502824,0.06791418282558742,0.043374117364633466,0.07086156937281295,0.08311796327874771,0.06559306553209909
3,conservative,0.011621830250153908,0.024061044739196128,0.004363333543973197,0.016635043709057797,-0.007905021751896153,0.019582430256283326,0.03183882416221808,0.014313926415569469
4,inclusive,0.11506795170463326,0.12750716619367547,0.10780945499845256,0.12008116516353715,0.0955410997025832,0.12302855171076267,0.13528494561669743,0.11776004787004883
5,avoid-misgendering,0.002523124130694516,0.014962338619736735,-0.0047353725754861985,0.0075363375895984045,-0.017003727871355546,0.010483724136823934,0.02274011804275869,0.005215220296110076
6,gender-continuum,-0.02274201727453199,-0.010302802785489774,-0.0300005139807127,-0.017728803815628105,-0.04226886927658205,-0.014781417268402573,-0.0025250233624678174,-0.02004992110911643
7,progressive-stance-group,0.031616352853598595,0.044055567342640815,0.02435785614741788,0.03662956631250249,0.012089500851548534,0.03957695285972801,0.05183334676566277,0.034308449019014156
8,traditional-values,0.009075068991770283,0.021514283480812503,0.0018165722855895705,0.014088282450674172,-0.01045178301027978,0.0170356689978997,0.02929206290383446,0.011767165157185844
9,avoid-overly-PC,-0.008732336751031048,0.003706877738011173,-0.01599083345721176,-0.003719123292127161,-0.02825918875308111,-0.000771736744901631,0.011484657161033125,-0.006040240585615486
10,biological-differences,-0.06920967343398338,-0.056770458944941156,-0.0764681701401641,-0.06419645997507949,-0.08873652543603344,-0.06124907342785397,-0.0489926795219192,-0.06651757726856782
11,conservative-stance-group,-0.022955647064414712,-0.010516432575372494,-0.030214143770595434,-0.017942433605510826,-0.04248249906646477,-0.014995047058285298,-0.002738653152350541,-0.020263550898999158
