context,p(reform)
accurate,0.3335480072445529
articulate,0.28255164365072855
avoid-misgendering,0.4259926902973301
avoid-overly-PC,0.2614469207519239
biological-differences,0.2833100430424947
conservative,0.23728617028710833
correct,0.270183458574315
gender-continuum,0.43639667731261045
grammatical,0.2519196133123029
inclusive,0.43517020090592645
liberal,0.27423485576215184
linguistically valid,0.26813692932563193
natural,0.254148534409179
progressive,0.2910667801275026
standard,0.28184038013267
traditional-values,0.22017026152956676
