name,item,form_set,perm,way_of_asking,context,prompt_text,model,logprobs_dict
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3.1-8B,"{'anchor': -10.302895545959473, 'anchorman': -13.400706589221954, 'anchorwoman': -15.363006114959717}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3.1-8B,"{'anchor': -10.76726245880127, 'anchorman': -14.320021510124207, 'anchorwoman': -15.45751953125}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3.1-8B,"{'anchor': -11.231705665588379, 'anchorman': -14.156479895114899, 'anchorwoman': -15.81174612045288}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3.1-8B,"{'anchor': -10.560998916625977, 'anchorman': -14.065313160419464, 'anchorwoman': -15.0881028175354}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3.1-8B,"{'anchor': -10.77901840209961, 'anchorman': -13.740145146846771, 'anchorwoman': -15.924628257751465}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3.1-8B,"{'anchor': -13.523797035217285, 'anchorman': -16.214688539505005, 'anchorwoman': -18.844141006469727}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3.1-8B,"{'anchor': -11.143209457397461, 'anchorman': -14.622709572315216, 'anchorwoman': -16.037495136260986}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3.1-8B,"{'anchor': -15.7622709274292, 'anchorman': -17.53456002473831, 'anchorwoman': -20.90534496307373}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3.1-8B,"{'anchor': -15.439372062683105, 'anchorman': -17.371044158935547, 'anchorwoman': -20.050362586975098}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",llama-3.1-8B,"{'anchor': -14.439644813537598, 'anchorman': -16.084413051605225, 'anchorwoman': -19.660882472991943}"
