context,p(reform)
accurate,0.3181597156682425
articulate,0.24068019017255227
avoid-misgendering,0.38784915395453445
avoid-overly-PC,0.26972011508244714
biological-differences,0.2613591666934897
conservative,0.22223116073515892
correct,0.26365189299795283
gender-continuum,0.34830204819521116
grammatical,0.2634814695295007
inclusive,0.39778588377143204
liberal,0.2634649061369774
linguistically valid,0.2547950126869119
natural,0.26410412896208263
progressive,0.2795741950304743
standard,0.2650005071354097
traditional-values,0.23025414803857
