,name,item,context,way_of_asking,p(reform)
0,Aaron,alderperson,choices-all-terms,best_complete,0.2842385225531443
1,Aaron,alderperson,choices-all-terms,best_refer,0.27875591874581945
2,Aaron,alderperson,choices-all-terms,direct,0.1693656132688517
3,Aaron,alderperson,choices-all-terms,likely_complete,0.2995817143758153
4,Aaron,alderperson,choices-all-terms,likely_refer,0.294598759959835
5,Aaron,anchorperson,choices-all-terms,best_complete,0.2754470108902722
6,Aaron,anchorperson,choices-all-terms,best_refer,0.34255130786000887
7,Aaron,anchorperson,choices-all-terms,direct,0.16020317678884863
8,Aaron,anchorperson,choices-all-terms,likely_complete,0.3098439982212415
9,Aaron,anchorperson,choices-all-terms,likely_refer,0.36772933348507175
10,Aaron,assemblyperson,choices-all-terms,best_complete,0.5279725778499961
11,Aaron,assemblyperson,choices-all-terms,best_refer,0.47287297195692474
12,Aaron,assemblyperson,choices-all-terms,direct,0.22817408025744487
13,Aaron,assemblyperson,choices-all-terms,likely_complete,0.5592343657139968
14,Aaron,assemblyperson,choices-all-terms,likely_refer,0.4974300181678078
15,Aaron,ball person,choices-all-terms,best_complete,0.9289454119647399
16,Aaron,ball person,choices-all-terms,best_refer,0.949879741886931
17,Aaron,ball person,choices-all-terms,direct,0.8386390281447659
18,Aaron,ball person,choices-all-terms,likely_complete,0.9249789522784622
19,Aaron,ball person,choices-all-terms,likely_refer,0.9432465335664609
20,Aaron,bartender,choices-all-terms,best_complete,0.24002609055942803
21,Aaron,bartender,choices-all-terms,best_refer,0.3575909706034938
22,Aaron,bartender,choices-all-terms,direct,0.1798082286030348
23,Aaron,bartender,choices-all-terms,likely_complete,0.24147047970052804
24,Aaron,bartender,choices-all-terms,likely_refer,0.3393050618220004
25,Aaron,businessperson,choices-all-terms,best_complete,0.5839914712954836
26,Aaron,businessperson,choices-all-terms,best_refer,0.599886932987168
27,Aaron,businessperson,choices-all-terms,direct,0.40686249352126497
28,Aaron,businessperson,choices-all-terms,likely_complete,0.579226800875465
29,Aaron,businessperson,choices-all-terms,likely_refer,0.5863676794063316
30,Aaron,camera operator,choices-all-terms,best_complete,0.25704161432322736
31,Aaron,camera operator,choices-all-terms,best_refer,0.30110417500402886
32,Aaron,camera operator,choices-all-terms,direct,0.3745504086294853
33,Aaron,camera operator,choices-all-terms,likely_complete,0.32078940988926924
34,Aaron,camera operator,choices-all-terms,likely_refer,0.32987626101782463
35,Aaron,caveperson,choices-all-terms,best_complete,0.04100225500505552
36,Aaron,caveperson,choices-all-terms,best_refer,0.03135925807660148
37,Aaron,caveperson,choices-all-terms,direct,0.03883222888080883
38,Aaron,caveperson,choices-all-terms,likely_complete,0.07007809477522577
39,Aaron,caveperson,choices-all-terms,likely_refer,0.04690497156424812
40,Aaron,chairperson,choices-all-terms,best_complete,0.7948183487058206
41,Aaron,chairperson,choices-all-terms,best_refer,0.7801458269569016
42,Aaron,chairperson,choices-all-terms,direct,0.7913593757273594
43,Aaron,chairperson,choices-all-terms,likely_complete,0.8046116018335775
44,Aaron,chairperson,choices-all-terms,likely_refer,0.7817648662571214
