context,p(reform)
accurate,0.26032221805976563
articulate,0.23208607825833377
avoid-misgendering,0.27975202967405743
avoid-overly-PC,0.2639675876607954
biological-differences,0.19409145672625555
conservative,0.2124739603934583
correct,0.23445514781249072
gender-continuum,0.2556622739676407
grammatical,0.20776123547907582
inclusive,0.35300426608624175
liberal,0.27587542560005984
linguistically valid,0.21510568076602787
natural,0.22963682429641663
progressive,0.31380817655888527
standard,0.23806309213506535
traditional-values,0.23967368055425886
