context,p(reform)
accurate,0.44951501280205675
articulate,0.5126677431341995
avoid-misgendering,0.8455775431101386
avoid-overly-PC,0.4717998007171213
biological-differences,0.34762380854228564
conservative,0.3294113949382915
correct,0.41952001844715864
gender-continuum,0.7541666663910462
grammatical,0.3754090900782444
inclusive,0.8362647200117478
liberal,0.5148695818115069
linguistically valid,0.36275752625539254
natural,0.3637603983923346
progressive,0.6062080622826335
standard,0.40970917478974495
traditional-values,0.33556530600185813
