,name,item,context,way_of_asking,p(reform)
0,Aaron,businessperson,choices-all-terms,best_complete,0.9741763133265896
1,Aaron,businessperson,choices-all-terms,best_refer,0.99814115032703
2,Aaron,businessperson,choices-all-terms,direct,0.8157943472803008
3,Aaron,businessperson,choices-all-terms,likely_complete,0.9392924372516852
4,Aaron,businessperson,choices-all-terms,likely_refer,0.9679175241244931
5,Aaron,camera operator,choices-all-terms,best_complete,0.6112201832300136
6,Aaron,camera operator,choices-all-terms,best_refer,0.9149373566366615
7,Aaron,camera operator,choices-all-terms,direct,0.5680554069494271
8,Aaron,camera operator,choices-all-terms,likely_complete,0.6193061385754693
9,Aaron,camera operator,choices-all-terms,likely_refer,0.5040278008365012
10,Aaron,congressperson,choices-all-terms,best_complete,0.9788645585051484
11,Aaron,congressperson,choices-all-terms,best_refer,0.9781056354491698
12,Aaron,congressperson,choices-all-terms,direct,0.49677809163408665
13,Aaron,congressperson,choices-all-terms,likely_complete,0.8848617565880428
14,Aaron,congressperson,choices-all-terms,likely_refer,0.8348018675942507
15,Aaron,craftsperson,choices-all-terms,best_complete,0.7788214586676586
16,Aaron,craftsperson,choices-all-terms,best_refer,0.798071712898635
17,Aaron,craftsperson,choices-all-terms,direct,0.5948878484249522
18,Aaron,craftsperson,choices-all-terms,likely_complete,0.4490038968192101
19,Aaron,craftsperson,choices-all-terms,likely_refer,0.5241668475276136
20,Aaron,crewmember,choices-all-terms,best_complete,0.8795232012833661
21,Aaron,crewmember,choices-all-terms,best_refer,0.8782802479324272
22,Aaron,crewmember,choices-all-terms,direct,0.9349491152470778
23,Aaron,crewmember,choices-all-terms,likely_complete,0.8386892643340582
24,Aaron,crewmember,choices-all-terms,likely_refer,0.8992830242292099
25,Aaron,firefighter,choices-all-terms,best_complete,0.7870518045319979
26,Aaron,firefighter,choices-all-terms,best_refer,0.9228801119643611
27,Aaron,firefighter,choices-all-terms,direct,0.43866469889422616
28,Aaron,firefighter,choices-all-terms,likely_complete,0.6668525608232857
29,Aaron,firefighter,choices-all-terms,likely_refer,0.6239125147369334
30,Aaron,foreperson,choices-all-terms,best_complete,0.8509546628233865
31,Aaron,foreperson,choices-all-terms,best_refer,0.9984666396239089
32,Aaron,foreperson,choices-all-terms,direct,0.7880727955100294
33,Aaron,foreperson,choices-all-terms,likely_complete,0.7161349043380926
34,Aaron,foreperson,choices-all-terms,likely_refer,0.6964484233658222
35,Aaron,layperson,choices-all-terms,best_complete,0.9584770805876154
36,Aaron,layperson,choices-all-terms,best_refer,0.9993156135281919
37,Aaron,layperson,choices-all-terms,direct,0.8454468601456034
38,Aaron,layperson,choices-all-terms,likely_complete,0.8483870828637766
39,Aaron,layperson,choices-all-terms,likely_refer,0.8966494695800078
40,Aaron,meteorologist,choices-all-terms,best_complete,0.29482535180449765
41,Aaron,meteorologist,choices-all-terms,best_refer,0.32762904959459405
42,Aaron,meteorologist,choices-all-terms,direct,0.480382460773114
43,Aaron,meteorologist,choices-all-terms,likely_complete,0.24495472844242006
44,Aaron,meteorologist,choices-all-terms,likely_refer,0.185989971872071
45,Aaron,police officer,choices-all-terms,best_complete,0.8948609391481063
46,Aaron,police officer,choices-all-terms,best_refer,0.9813560004915712
47,Aaron,police officer,choices-all-terms,direct,0.9821514801254195
48,Aaron,police officer,choices-all-terms,likely_complete,0.8583820041652497
49,Aaron,police officer,choices-all-terms,likely_refer,0.9071475849792017
50,Aaron,salesperson,choices-all-terms,best_complete,0.9983946381094121
51,Aaron,salesperson,choices-all-terms,best_refer,0.9995772725904919
52,Aaron,salesperson,choices-all-terms,direct,0.9304920571448904
53,Aaron,salesperson,choices-all-terms,likely_complete,0.9665278802715574
54,Aaron,salesperson,choices-all-terms,likely_refer,0.9808196508878163
55,Aaron,stunt double,choices-all-terms,best_complete,6.073601080420702e-05
56,Aaron,stunt double,choices-all-terms,best_refer,0.007194285358777963
57,Aaron,stunt double,choices-all-terms,direct,0.18842986483312282
58,Aaron,stunt double,choices-all-terms,likely_complete,4.0095877333877186e-05
59,Aaron,stunt double,choices-all-terms,likely_refer,5.42478209746791e-05
60,Adeline,businessperson,choices-all-terms,best_complete,0.6742178645295457
61,Adeline,businessperson,choices-all-terms,best_refer,0.9795720675472622
62,Adeline,businessperson,choices-all-terms,direct,0.7763690959949249
63,Adeline,businessperson,choices-all-terms,likely_complete,0.6514814589660526
64,Adeline,businessperson,choices-all-terms,likely_refer,0.6902458239226327
65,Adeline,camera operator,choices-all-terms,best_complete,0.31575209713995867
66,Adeline,camera operator,choices-all-terms,best_refer,0.16516462475106294
67,Adeline,camera operator,choices-all-terms,direct,0.7568044369369455
68,Adeline,camera operator,choices-all-terms,likely_complete,0.2664864821938933
69,Adeline,camera operator,choices-all-terms,likely_refer,0.03777082418248872
70,Adeline,congressperson,choices-all-terms,best_complete,0.17148996844055572
71,Adeline,congressperson,choices-all-terms,best_refer,0.480378527332389
72,Adeline,congressperson,choices-all-terms,direct,0.694218956027911
73,Adeline,congressperson,choices-all-terms,likely_complete,0.15450182063173537
74,Adeline,congressperson,choices-all-terms,likely_refer,0.17145664199461344
75,Adeline,craftsperson,choices-all-terms,best_complete,0.8186002348932414
76,Adeline,craftsperson,choices-all-terms,best_refer,0.9765060885939149
77,Adeline,craftsperson,choices-all-terms,direct,0.6309873313036648
78,Adeline,craftsperson,choices-all-terms,likely_complete,0.7715990775735415
79,Adeline,craftsperson,choices-all-terms,likely_refer,0.6481542908274031
80,Adeline,crewmember,choices-all-terms,best_complete,0.25718200808289615
81,Adeline,crewmember,choices-all-terms,best_refer,0.0851314599770177
82,Adeline,crewmember,choices-all-terms,direct,0.8269844533524585
83,Adeline,crewmember,choices-all-terms,likely_complete,0.1677759269400102
84,Adeline,crewmember,choices-all-terms,likely_refer,0.006142301245885738
85,Adeline,firefighter,choices-all-terms,best_complete,0.4706807800057929
86,Adeline,firefighter,choices-all-terms,best_refer,0.6341963768567247
87,Adeline,firefighter,choices-all-terms,direct,0.5342799155790688
88,Adeline,firefighter,choices-all-terms,likely_complete,0.4555474893697496
89,Adeline,firefighter,choices-all-terms,likely_refer,0.3315301222811422
90,Adeline,foreperson,choices-all-terms,best_complete,0.6879084232723454
91,Adeline,foreperson,choices-all-terms,best_refer,0.9525849600220925
92,Adeline,foreperson,choices-all-terms,direct,0.7742067043213797
93,Adeline,foreperson,choices-all-terms,likely_complete,0.6480213994366781
94,Adeline,foreperson,choices-all-terms,likely_refer,0.6366537473429829
95,Adeline,layperson,choices-all-terms,best_complete,0.9677212679332055
96,Adeline,layperson,choices-all-terms,best_refer,0.9983320414895521
97,Adeline,layperson,choices-all-terms,direct,0.7880492084555147
98,Adeline,layperson,choices-all-terms,likely_complete,0.9002164985199946
99,Adeline,layperson,choices-all-terms,likely_refer,0.981296867479013
100,Adeline,meteorologist,choices-all-terms,best_complete,0.2979952855797941
101,Adeline,meteorologist,choices-all-terms,best_refer,0.2327734497050655
102,Adeline,meteorologist,choices-all-terms,direct,0.503555742007192
103,Adeline,meteorologist,choices-all-terms,likely_complete,0.26904358045613724
104,Adeline,meteorologist,choices-all-terms,likely_refer,0.14002330823821202
105,Adeline,police officer,choices-all-terms,best_complete,0.6856894582851835
106,Adeline,police officer,choices-all-terms,best_refer,0.6836521774252798
107,Adeline,police officer,choices-all-terms,direct,0.720607738951068
108,Adeline,police officer,choices-all-terms,likely_complete,0.7145512464971162
109,Adeline,police officer,choices-all-terms,likely_refer,0.5749378090414393
110,Adeline,salesperson,choices-all-terms,best_complete,0.8902968720125939
111,Adeline,salesperson,choices-all-terms,best_refer,0.9997175536707731
112,Adeline,salesperson,choices-all-terms,direct,0.987368478366457
113,Adeline,salesperson,choices-all-terms,likely_complete,0.7714129012772558
114,Adeline,salesperson,choices-all-terms,likely_refer,0.9368082587989992
115,Adeline,stunt double,choices-all-terms,best_complete,1.792668155637517e-05
116,Adeline,stunt double,choices-all-terms,best_refer,0.0011814163503015623
