,name,item,context,way_of_asking,p(reform)
0,Aaron,businessperson,choices-all-terms,best_complete,0.7599453294307609
1,Aaron,businessperson,choices-all-terms,best_refer,0.8135928317838923
2,Aaron,businessperson,choices-all-terms,direct,0.6360321147870378
3,Aaron,businessperson,choices-all-terms,likely_complete,0.6762992315639119
4,Aaron,businessperson,choices-all-terms,likely_refer,0.6889459970136557
5,Aaron,camera operator,choices-all-terms,best_complete,0.24000149552134453
6,Aaron,camera operator,choices-all-terms,best_refer,0.26366925019990045
7,Aaron,camera operator,choices-all-terms,direct,0.17557645289573273
8,Aaron,camera operator,choices-all-terms,likely_complete,0.19341025705202916
9,Aaron,camera operator,choices-all-terms,likely_refer,0.24931718872758046
10,Aaron,congressperson,choices-all-terms,best_complete,0.6265424376854535
11,Aaron,congressperson,choices-all-terms,best_refer,0.6071313575528741
12,Aaron,congressperson,choices-all-terms,direct,0.2777963637413482
13,Aaron,congressperson,choices-all-terms,likely_complete,0.4933069038365991
14,Aaron,congressperson,choices-all-terms,likely_refer,0.5180524082269621
15,Aaron,craftsperson,choices-all-terms,best_complete,0.1430299766812836
16,Aaron,craftsperson,choices-all-terms,best_refer,0.2720168624164059
17,Aaron,craftsperson,choices-all-terms,direct,0.3179812488422062
18,Aaron,craftsperson,choices-all-terms,likely_complete,0.22264168296669004
19,Aaron,craftsperson,choices-all-terms,likely_refer,0.33903063520116555
20,Aaron,crewmember,choices-all-terms,best_complete,0.5473469330078767
21,Aaron,crewmember,choices-all-terms,best_refer,0.5965988031113969
22,Aaron,crewmember,choices-all-terms,direct,0.38827743650020485
23,Aaron,crewmember,choices-all-terms,likely_complete,0.4594902750561134
24,Aaron,crewmember,choices-all-terms,likely_refer,0.5004244725465586
25,Aaron,firefighter,choices-all-terms,best_complete,0.31183287273642785
26,Aaron,firefighter,choices-all-terms,best_refer,0.3145108583418003
27,Aaron,firefighter,choices-all-terms,direct,0.7753828000731687
28,Aaron,firefighter,choices-all-terms,likely_complete,0.32118706361659705
29,Aaron,firefighter,choices-all-terms,likely_refer,0.22377414184985503
30,Aaron,foreperson,choices-all-terms,best_complete,0.2693710406512691
31,Aaron,foreperson,choices-all-terms,best_refer,0.29757717566593334
32,Aaron,foreperson,choices-all-terms,direct,0.2626968683349366
33,Aaron,foreperson,choices-all-terms,likely_complete,0.1669835442808599
34,Aaron,foreperson,choices-all-terms,likely_refer,0.18527705171114917
35,Aaron,layperson,choices-all-terms,best_complete,0.5021205627527751
36,Aaron,layperson,choices-all-terms,best_refer,0.53317768025882
37,Aaron,layperson,choices-all-terms,direct,0.4723172452844168
38,Aaron,layperson,choices-all-terms,likely_complete,0.4036138439832235
39,Aaron,layperson,choices-all-terms,likely_refer,0.3860819022354826
40,Aaron,meteorologist,choices-all-terms,best_complete,0.5504948971410386
41,Aaron,meteorologist,choices-all-terms,best_refer,0.6019390615045955
42,Aaron,meteorologist,choices-all-terms,direct,0.6719009606897419
43,Aaron,meteorologist,choices-all-terms,likely_complete,0.6706252537280918
44,Aaron,meteorologist,choices-all-terms,likely_refer,0.6280181093825652
45,Aaron,police officer,choices-all-terms,best_complete,0.5273224860409743
46,Aaron,police officer,choices-all-terms,best_refer,0.5803233616284742
47,Aaron,police officer,choices-all-terms,direct,0.5378186945637777
48,Aaron,police officer,choices-all-terms,likely_complete,0.494883623436647
49,Aaron,police officer,choices-all-terms,likely_refer,0.4748645797677977
50,Aaron,salesperson,choices-all-terms,best_complete,0.6731660076187164
51,Aaron,salesperson,choices-all-terms,best_refer,0.726687358579801
52,Aaron,salesperson,choices-all-terms,direct,0.3986923503045851
53,Aaron,salesperson,choices-all-terms,likely_complete,0.6601030890986035
54,Aaron,salesperson,choices-all-terms,likely_refer,0.5911366725022679
55,Aaron,stunt double,choices-all-terms,best_complete,0.3553761664143047
56,Aaron,stunt double,choices-all-terms,best_refer,0.38688298653621533
57,Aaron,stunt double,choices-all-terms,direct,0.412164957205618
58,Aaron,stunt double,choices-all-terms,likely_complete,0.3178066935026493
59,Aaron,stunt double,choices-all-terms,likely_refer,0.35312431847430087
60,Adeline,businessperson,choices-all-terms,best_complete,0.5472565753666571
61,Adeline,businessperson,choices-all-terms,best_refer,0.5136903749488452
62,Adeline,businessperson,choices-all-terms,direct,0.4227023250036077
63,Adeline,businessperson,choices-all-terms,likely_complete,0.4806798456261538
64,Adeline,businessperson,choices-all-terms,likely_refer,0.4001627191294787
65,Adeline,camera operator,choices-all-terms,best_complete,0.2130191387899912
66,Adeline,camera operator,choices-all-terms,best_refer,0.2497886212322206
67,Adeline,camera operator,choices-all-terms,direct,0.16660825115117353
68,Adeline,camera operator,choices-all-terms,likely_complete,0.15513168250766168
69,Adeline,camera operator,choices-all-terms,likely_refer,0.2665155847890208
70,Adeline,congressperson,choices-all-terms,best_complete,0.3218493934188572
71,Adeline,congressperson,choices-all-terms,best_refer,0.29117700083014225
72,Adeline,congressperson,choices-all-terms,direct,0.279719644080231
73,Adeline,congressperson,choices-all-terms,likely_complete,0.2985828566684342
74,Adeline,congressperson,choices-all-terms,likely_refer,0.3152351883483765
75,Adeline,craftsperson,choices-all-terms,best_complete,0.12358215169629044
76,Adeline,craftsperson,choices-all-terms,best_refer,0.21087705798707757
77,Adeline,craftsperson,choices-all-terms,direct,0.35224943897141364
78,Adeline,craftsperson,choices-all-terms,likely_complete,0.20710127706619366
79,Adeline,craftsperson,choices-all-terms,likely_refer,0.21637978091942758
80,Adeline,crewmember,choices-all-terms,best_complete,0.7041648629803937
81,Adeline,crewmember,choices-all-terms,best_refer,0.7760263151914267
82,Adeline,crewmember,choices-all-terms,direct,0.687340909320436
83,Adeline,crewmember,choices-all-terms,likely_complete,0.6118305949757038
84,Adeline,crewmember,choices-all-terms,likely_refer,0.7026168887794754
85,Adeline,firefighter,choices-all-terms,best_complete,0.1949348430351179
86,Adeline,firefighter,choices-all-terms,best_refer,0.22671794352492425
87,Adeline,firefighter,choices-all-terms,direct,0.6507867283121334
88,Adeline,firefighter,choices-all-terms,likely_complete,0.18515044372325792
89,Adeline,firefighter,choices-all-terms,likely_refer,0.1764535580854499
90,Adeline,foreperson,choices-all-terms,best_complete,0.2975698406104244
91,Adeline,foreperson,choices-all-terms,best_refer,0.25415987709754745
92,Adeline,foreperson,choices-all-terms,direct,0.25344356131764745
93,Adeline,foreperson,choices-all-terms,likely_complete,0.2132255392536373
94,Adeline,foreperson,choices-all-terms,likely_refer,0.18767991342655163
95,Adeline,layperson,choices-all-terms,best_complete,0.3821814559119554
96,Adeline,layperson,choices-all-terms,best_refer,0.3665514251570792
97,Adeline,layperson,choices-all-terms,direct,0.33224533652014304
98,Adeline,layperson,choices-all-terms,likely_complete,0.30235000804594003
99,Adeline,layperson,choices-all-terms,likely_refer,0.2887161288834543
100,Adeline,meteorologist,choices-all-terms,best_complete,0.5239489165182173
101,Adeline,meteorologist,choices-all-terms,best_refer,0.5393799598869736
102,Adeline,meteorologist,choices-all-terms,direct,0.5894575861554504
103,Adeline,meteorologist,choices-all-terms,likely_complete,0.620653133849884
104,Adeline,meteorologist,choices-all-terms,likely_refer,0.5805362767420862
105,Adeline,police officer,choices-all-terms,best_complete,0.4585183048781654
106,Adeline,police officer,choices-all-terms,best_refer,0.4866909588781732
107,Adeline,police officer,choices-all-terms,direct,0.2767184209068567
108,Adeline,police officer,choices-all-terms,likely_complete,0.42417927918264287
109,Adeline,police officer,choices-all-terms,likely_refer,0.4636835623919626
110,Adeline,salesperson,choices-all-terms,best_complete,0.4222306757968588
111,Adeline,salesperson,choices-all-terms,best_refer,0.4168951472123537
112,Adeline,salesperson,choices-all-terms,direct,0.39314894528233163
113,Adeline,salesperson,choices-all-terms,likely_complete,0.3860856308927789
114,Adeline,salesperson,choices-all-terms,likely_refer,0.30819882558480466
115,Adeline,stunt double,choices-all-terms,best_complete,0.2506746456872235
116,Adeline,stunt double,choices-all-terms,best_refer,0.2507726122808127
117,Adeline,stunt double,choices-all-terms,direct,0.2772058999461889
118,Adeline,stunt double,choices-all-terms,likely_complete,0.23560188110483313
119,Adeline,stunt double,choices-all-terms,likely_refer,0.27255022591857075
120,Alex,businessperson,choices-all-terms,best_complete,0.667885946393412
121,Alex,businessperson,choices-all-terms,best_refer,0.7226467404918763
122,Alex,businessperson,choices-all-terms,direct,0.6262962433533529
123,Alex,businessperson,choices-all-terms,likely_complete,0.5876524860955813
124,Alex,businessperson,choices-all-terms,likely_refer,0.5960403237891897
125,Alex,camera operator,choices-all-terms,best_complete,0.23736548968597485
126,Alex,camera operator,choices-all-terms,best_refer,0.272244139421491
127,Alex,camera operator,choices-all-terms,direct,0.2927949002780583
128,Alex,camera operator,choices-all-terms,likely_complete,0.18974139257762065
129,Alex,camera operator,choices-all-terms,likely_refer,0.2668253668614975
130,Alex,congressperson,choices-all-terms,best_complete,0.5060998735898264
131,Alex,congressperson,choices-all-terms,best_refer,0.5137134918276381
132,Alex,congressperson,choices-all-terms,direct,0.3431227564472598
133,Alex,congressperson,choices-all-terms,likely_complete,0.427835897012298
134,Alex,congressperson,choices-all-terms,likely_refer,0.47348276352567326
