,name,item,context,way_of_asking,p(reform)
0,Aaron,businessperson,avoid-misgendering,best_complete,0.2042450363683429
1,Aaron,camera operator,avoid-misgendering,best_complete,0.8509279362109811
2,Aaron,congressperson,avoid-misgendering,best_complete,0.4063375582999752
3,Aaron,craftsperson,avoid-misgendering,best_complete,0.48604801726310337
4,Aaron,crewmember,avoid-misgendering,best_complete,0.5678963793761972
5,Aaron,firefighter,avoid-misgendering,best_complete,0.9921819976014508
7,Aaron,foreperson,avoid-misgendering,best_complete,0.9368723531014939
8,Aaron,layperson,avoid-misgendering,best_complete,0.9910301953571058
9,Aaron,meteorologist,avoid-misgendering,best_complete,0.8594266616724429
10,Aaron,police officer,avoid-misgendering,best_complete,0.8553048008301082
11,Aaron,salesperson,avoid-misgendering,best_complete,0.3346075640437154
12,Aaron,stunt double,avoid-misgendering,best_complete,0.9215642670098252
14,Adeline,businessperson,avoid-misgendering,best_complete,0.5005626829944523
15,Adeline,camera operator,avoid-misgendering,best_complete,0.9893783519413832
16,Adeline,congressperson,avoid-misgendering,best_complete,0.8119837103597106
17,Adeline,craftsperson,avoid-misgendering,best_complete,0.8264216896841373
18,Adeline,crewmember,avoid-misgendering,best_complete,0.6954277372938722
19,Adeline,firefighter,avoid-misgendering,best_complete,0.9944390674052819
21,Adeline,foreperson,avoid-misgendering,best_complete,0.9828252229862385
22,Adeline,layperson,avoid-misgendering,best_complete,0.9897451272172785
23,Adeline,meteorologist,avoid-misgendering,best_complete,0.9791511682473838
24,Adeline,police officer,avoid-misgendering,best_complete,0.920907758905431
25,Adeline,salesperson,avoid-misgendering,best_complete,0.8495752766554139
26,Adeline,stunt double,avoid-misgendering,best_complete,0.9062216766252811
28,Alex,businessperson,avoid-misgendering,best_complete,0.5027741951196878
29,Alex,camera operator,avoid-misgendering,best_complete,0.9167557097581451
30,Alex,congressperson,avoid-misgendering,best_complete,0.7095821674231101
31,Alex,craftsperson,avoid-misgendering,best_complete,0.6590173192746049
32,Alex,crewmember,avoid-misgendering,best_complete,0.905128181843197
33,Alex,firefighter,avoid-misgendering,best_complete,0.9970149228717324
35,Alex,foreperson,avoid-misgendering,best_complete,0.9795422528186776
