,name,item,context,way_of_asking,p(reform)
0,Aaron,businessperson,choices-all-terms,best_complete,0.014721842529801665
1,Aaron,businessperson,choices-all-terms,best_refer,0.017796414686641965
2,Aaron,businessperson,choices-all-terms,direct,0.5267275077634558
3,Aaron,businessperson,choices-all-terms,likely_complete,0.09638376753342
4,Aaron,businessperson,choices-all-terms,likely_refer,0.07549368361677074
5,Aaron,camera operator,choices-all-terms,best_complete,0.048402019086637556
6,Aaron,camera operator,choices-all-terms,best_refer,0.05533778261226747
7,Aaron,camera operator,choices-all-terms,direct,0.1831343657301914
8,Aaron,camera operator,choices-all-terms,likely_complete,0.11091393484977219
9,Aaron,camera operator,choices-all-terms,likely_refer,0.08695618827114455
10,Aaron,congressperson,choices-all-terms,best_complete,0.0007378225141345458
11,Aaron,congressperson,choices-all-terms,best_refer,0.001553465772809618
12,Aaron,congressperson,choices-all-terms,direct,0.003578059621027648
13,Aaron,congressperson,choices-all-terms,likely_complete,0.003224431337746267
14,Aaron,congressperson,choices-all-terms,likely_refer,0.00931318224107522
15,Aaron,craftsperson,choices-all-terms,best_complete,0.012929651914815947
16,Aaron,craftsperson,choices-all-terms,best_refer,0.0168660539518975
17,Aaron,craftsperson,choices-all-terms,direct,0.09362321643266808
18,Aaron,craftsperson,choices-all-terms,likely_complete,0.03649160661092465
19,Aaron,craftsperson,choices-all-terms,likely_refer,0.04249282040455979
20,Aaron,crewmember,choices-all-terms,best_complete,0.2445140309901309
21,Aaron,crewmember,choices-all-terms,best_refer,0.1974196977595077
22,Aaron,crewmember,choices-all-terms,direct,0.3737252100946969
23,Aaron,crewmember,choices-all-terms,likely_complete,0.3176343122760621
24,Aaron,crewmember,choices-all-terms,likely_refer,0.15886574583769672
25,Aaron,firefighter,choices-all-terms,best_complete,0.9918019921491158
26,Aaron,firefighter,choices-all-terms,best_refer,0.9834939836192366
27,Aaron,firefighter,choices-all-terms,direct,0.9733277775380214
28,Aaron,firefighter,choices-all-terms,likely_complete,0.9322391688228139
29,Aaron,firefighter,choices-all-terms,likely_refer,0.9384236774160176
30,Aaron,foreperson,choices-all-terms,best_complete,0.03138891451556051
31,Aaron,foreperson,choices-all-terms,best_refer,0.0607056760061471
32,Aaron,foreperson,choices-all-terms,direct,0.2963197203648035
33,Aaron,foreperson,choices-all-terms,likely_complete,0.034690561235812614
34,Aaron,foreperson,choices-all-terms,likely_refer,0.012925937513448121
35,Aaron,layperson,choices-all-terms,best_complete,0.07954448499093239
36,Aaron,layperson,choices-all-terms,best_refer,0.13119477903807386
37,Aaron,layperson,choices-all-terms,direct,0.36717363770855566
38,Aaron,layperson,choices-all-terms,likely_complete,0.10939377002205697
39,Aaron,layperson,choices-all-terms,likely_refer,0.14539890443359796
40,Aaron,meteorologist,choices-all-terms,best_complete,0.829013476411849
41,Aaron,meteorologist,choices-all-terms,best_refer,0.8464902132392814
42,Aaron,meteorologist,choices-all-terms,direct,0.7213334480964249
43,Aaron,meteorologist,choices-all-terms,likely_complete,0.7061717493895076
44,Aaron,meteorologist,choices-all-terms,likely_refer,0.862860574290795
45,Aaron,police officer,choices-all-terms,best_complete,0.026756136194478825
46,Aaron,police officer,choices-all-terms,best_refer,0.06287456181651464
47,Aaron,police officer,choices-all-terms,direct,0.7630875390490804
48,Aaron,police officer,choices-all-terms,likely_complete,0.03432404994977898
49,Aaron,police officer,choices-all-terms,likely_refer,0.10159931910614046
50,Aaron,salesperson,choices-all-terms,best_complete,0.07232208602871383
51,Aaron,salesperson,choices-all-terms,best_refer,0.17766749705294146
52,Aaron,salesperson,choices-all-terms,direct,0.5967196178485428
53,Aaron,salesperson,choices-all-terms,likely_complete,0.16859736510278722
54,Aaron,salesperson,choices-all-terms,likely_refer,0.23441530687235904
55,Aaron,stunt double,choices-all-terms,best_complete,0.0027977374813057056
56,Aaron,stunt double,choices-all-terms,best_refer,0.017754163727151485
57,Aaron,stunt double,choices-all-terms,direct,0.06901809087885187
58,Aaron,stunt double,choices-all-terms,likely_complete,0.0016388501417675975
59,Aaron,stunt double,choices-all-terms,likely_refer,0.005273987008762929
60,Adeline,businessperson,choices-all-terms,best_complete,0.0018048308205189897
61,Adeline,businessperson,choices-all-terms,best_refer,0.0010194808067549776
62,Adeline,businessperson,choices-all-terms,direct,0.036025601955614134
63,Adeline,businessperson,choices-all-terms,likely_complete,0.004956472734332397
64,Adeline,businessperson,choices-all-terms,likely_refer,0.0021801942012330705
65,Adeline,camera operator,choices-all-terms,best_complete,0.12674054277908656
66,Adeline,camera operator,choices-all-terms,best_refer,0.09979334995433918
67,Adeline,camera operator,choices-all-terms,direct,0.15551315519217102
68,Adeline,camera operator,choices-all-terms,likely_complete,0.18305582865819137
69,Adeline,camera operator,choices-all-terms,likely_refer,0.1728242821267977
70,Adeline,congressperson,choices-all-terms,best_complete,0.011578565836852572
71,Adeline,congressperson,choices-all-terms,best_refer,0.02859417478922198
72,Adeline,congressperson,choices-all-terms,direct,0.24542179385672033
73,Adeline,congressperson,choices-all-terms,likely_complete,0.006360144713923844
74,Adeline,congressperson,choices-all-terms,likely_refer,0.008540809920486732
75,Adeline,craftsperson,choices-all-terms,best_complete,0.07682094921763442
76,Adeline,craftsperson,choices-all-terms,best_refer,0.10108280046715906
77,Adeline,craftsperson,choices-all-terms,direct,0.4617557930193719
78,Adeline,craftsperson,choices-all-terms,likely_complete,0.10550845544113761
79,Adeline,craftsperson,choices-all-terms,likely_refer,0.10208759552796988
80,Adeline,crewmember,choices-all-terms,best_complete,0.7464500247483367
81,Adeline,crewmember,choices-all-terms,best_refer,0.6587754266649087
82,Adeline,crewmember,choices-all-terms,direct,0.3773310098739843
83,Adeline,crewmember,choices-all-terms,likely_complete,0.504450893216995
84,Adeline,crewmember,choices-all-terms,likely_refer,0.4385412490602822
85,Adeline,firefighter,choices-all-terms,best_complete,0.981648960042201
86,Adeline,firefighter,choices-all-terms,best_refer,0.9800805872606392
87,Adeline,firefighter,choices-all-terms,direct,0.8352148524553061
88,Adeline,firefighter,choices-all-terms,likely_complete,0.8048226062620589
89,Adeline,firefighter,choices-all-terms,likely_refer,0.9058306034955019
90,Adeline,foreperson,choices-all-terms,best_complete,0.00641402864689735
91,Adeline,foreperson,choices-all-terms,best_refer,0.04132892833827816
92,Adeline,foreperson,choices-all-terms,direct,0.25674807346826295
93,Adeline,foreperson,choices-all-terms,likely_complete,0.005030675712795406
94,Adeline,foreperson,choices-all-terms,likely_refer,0.004296591814726618
95,Adeline,layperson,choices-all-terms,best_complete,0.08216585310801237
96,Adeline,layperson,choices-all-terms,best_refer,0.09631377863593972
97,Adeline,layperson,choices-all-terms,direct,0.36032796857478283
98,Adeline,layperson,choices-all-terms,likely_complete,0.11925870494267521
99,Adeline,layperson,choices-all-terms,likely_refer,0.09382246187742027
100,Adeline,meteorologist,choices-all-terms,best_complete,0.7620963976376691
101,Adeline,meteorologist,choices-all-terms,best_refer,0.7548148912693756
102,Adeline,meteorologist,choices-all-terms,direct,0.5059454174845378
103,Adeline,meteorologist,choices-all-terms,likely_complete,0.46351519053719065
104,Adeline,meteorologist,choices-all-terms,likely_refer,0.6417686170609179
105,Adeline,police officer,choices-all-terms,best_complete,0.011522171953080723
106,Adeline,police officer,choices-all-terms,best_refer,0.03304883999174285
107,Adeline,police officer,choices-all-terms,direct,0.0892004282196851
108,Adeline,police officer,choices-all-terms,likely_complete,0.02253782304097851
109,Adeline,police officer,choices-all-terms,likely_refer,0.061059026592368115
110,Adeline,salesperson,choices-all-terms,best_complete,0.01133295555450914
111,Adeline,salesperson,choices-all-terms,best_refer,0.017432020911619016
112,Adeline,salesperson,choices-all-terms,direct,0.12541534791576134
113,Adeline,salesperson,choices-all-terms,likely_complete,0.011878240981293121
114,Adeline,salesperson,choices-all-terms,likely_refer,0.008370008330893835
