,name,item,context,way_of_asking,p(reform)
0,Cameron,ball person,correct,best_complete,0.007254394323154271
1,Cameron,ball person,accurate,best_complete,0.02256306976877215
2,Cameron,ball person,linguistically valid,best_complete,0.006814903872543069
3,Cameron,ball person,grammatical,best_complete,0.006662070875964019
4,Cameron,ball person,standard,best_complete,0.005838680288973767
5,Cameron,ball person,articulate,best_complete,0.01874408121452313
6,Cameron,ball person,natural,best_complete,0.007255246751422914
7,Cameron,ball person,progressive,best_complete,0.028056960514751126
8,Cameron,ball person,liberal,best_complete,0.02662405030584655
9,Cameron,ball person,conservative,best_complete,0.02328961806583914
10,Cameron,ball person,inclusive,best_complete,0.05638340994754875
11,Cameron,ball person,traditional-values,best_complete,0.007337583018559634
12,Cameron,ball person,avoid-misgendering,best_complete,0.09798500455406266
13,Cameron,ball person,avoid-overly-PC,best_complete,0.01983433795936654
14,Cameron,ball person,gender-continuum,best_complete,0.1338582190486588
15,Cameron,ball person,biological-differences,best_complete,0.007364147482818465
16,Cameron,bartender,correct,best_complete,0.9657623432785867
17,Cameron,bartender,accurate,best_complete,0.9838010373596401
18,Cameron,bartender,linguistically valid,best_complete,0.9143825947488178
19,Cameron,bartender,grammatical,best_complete,0.8943862941342502
20,Cameron,bartender,standard,best_complete,0.9488935627395987
21,Cameron,bartender,articulate,best_complete,0.9422586707275182
22,Cameron,bartender,natural,best_complete,0.8533872935238803
23,Cameron,bartender,progressive,best_complete,0.7979115887058802
24,Cameron,bartender,liberal,best_complete,0.9354662454204039
25,Cameron,bartender,conservative,best_complete,0.8458395055830842
26,Cameron,bartender,inclusive,best_complete,0.9904059729687041
27,Cameron,bartender,traditional-values,best_complete,0.7344578122929843
28,Cameron,bartender,avoid-misgendering,best_complete,0.9970550825560648
29,Cameron,bartender,avoid-overly-PC,best_complete,0.9243529463512742
30,Cameron,bartender,gender-continuum,best_complete,0.6467533408484075
31,Cameron,bartender,biological-differences,best_complete,0.9552028861506714
32,Cameron,caveperson,correct,best_complete,0.01710745084599318
33,Cameron,caveperson,accurate,best_complete,0.023611412779296407
34,Cameron,caveperson,linguistically valid,best_complete,0.017610091303101996
35,Cameron,caveperson,grammatical,best_complete,0.011615409642569957
36,Cameron,caveperson,standard,best_complete,0.011881793225654854
37,Cameron,caveperson,articulate,best_complete,0.01741654569229993
38,Cameron,caveperson,natural,best_complete,0.013330073306464955
39,Cameron,caveperson,progressive,best_complete,0.11951181285762345
40,Cameron,caveperson,liberal,best_complete,0.04207692532916444
41,Cameron,caveperson,conservative,best_complete,0.015055216644667692
42,Cameron,caveperson,inclusive,best_complete,0.1654183334250671
43,Cameron,caveperson,traditional-values,best_complete,0.004705232465134169
44,Cameron,caveperson,avoid-misgendering,best_complete,0.2365619633254277
45,Cameron,caveperson,avoid-overly-PC,best_complete,0.03413335322172287
46,Cameron,caveperson,gender-continuum,best_complete,0.1494633311800718
47,Cameron,caveperson,biological-differences,best_complete,0.03173782566903577
48,Cameron,cow herder,correct,best_complete,0.0003844113799413889
49,Cameron,cow herder,accurate,best_complete,0.0007298573298669343
50,Cameron,cow herder,linguistically valid,best_complete,0.0004698240505797968
51,Cameron,cow herder,grammatical,best_complete,0.0004174502476099427
52,Cameron,cow herder,standard,best_complete,0.0002740525706092334
53,Cameron,cow herder,articulate,best_complete,0.00038851118363526126
54,Cameron,cow herder,natural,best_complete,0.0002564287681441986
55,Cameron,cow herder,progressive,best_complete,0.0004101197703029345
56,Cameron,cow herder,liberal,best_complete,0.00019061187386934446
57,Cameron,cow herder,conservative,best_complete,0.00020943636635836258
58,Cameron,cow herder,inclusive,best_complete,0.0003256594931828634
59,Cameron,cow herder,traditional-values,best_complete,0.00019651869125769935
60,Cameron,cow herder,avoid-misgendering,best_complete,0.0007436046160941594
61,Cameron,cow herder,avoid-overly-PC,best_complete,0.00044731427396222273
62,Cameron,cow herder,gender-continuum,best_complete,6.192666363877471e-05
63,Cameron,cow herder,biological-differences,best_complete,7.356811677306015e-05
64,Cameron,emergency medical technician,correct,best_complete,0.5886813112355009
65,Cameron,emergency medical technician,accurate,best_complete,0.7901977150957176
66,Cameron,emergency medical technician,linguistically valid,best_complete,0.325092812672468
67,Cameron,emergency medical technician,grammatical,best_complete,0.7617998339067309
68,Cameron,emergency medical technician,standard,best_complete,0.4828273007180149
69,Cameron,emergency medical technician,articulate,best_complete,0.657006833668744
70,Cameron,emergency medical technician,natural,best_complete,0.5373880188863688
71,Cameron,emergency medical technician,progressive,best_complete,0.06923662885327465
72,Cameron,emergency medical technician,liberal,best_complete,0.06781680767411985
73,Cameron,emergency medical technician,conservative,best_complete,0.25130628562978885
74,Cameron,emergency medical technician,inclusive,best_complete,0.9612012895633396
75,Cameron,emergency medical technician,traditional-values,best_complete,0.18391749300035776
76,Cameron,emergency medical technician,avoid-misgendering,best_complete,0.9865208994915579
77,Cameron,emergency medical technician,avoid-overly-PC,best_complete,0.5575142833179682
78,Cameron,emergency medical technician,gender-continuum,best_complete,0.17975840336403182
79,Cameron,emergency medical technician,biological-differences,best_complete,0.681552868683935
80,Cameron,pioneer,correct,best_complete,0.9558801802559725
81,Cameron,pioneer,accurate,best_complete,0.9781695022065119
82,Cameron,pioneer,linguistically valid,best_complete,0.9742439681185002
83,Cameron,pioneer,grammatical,best_complete,0.9530182017693146
84,Cameron,pioneer,standard,best_complete,0.9635977961197402
85,Cameron,pioneer,articulate,best_complete,0.9852987177903544
86,Cameron,pioneer,natural,best_complete,0.9752187312345904
87,Cameron,pioneer,progressive,best_complete,0.9998332329100218
88,Cameron,pioneer,liberal,best_complete,0.9993784027697639
89,Cameron,pioneer,conservative,best_complete,0.9984043403744735
90,Cameron,pioneer,inclusive,best_complete,0.9790787876935559
91,Cameron,pioneer,traditional-values,best_complete,0.9975104086637652
92,Cameron,pioneer,avoid-misgendering,best_complete,0.9649364517328008
93,Cameron,pioneer,avoid-overly-PC,best_complete,0.9940076715706193
94,Cameron,pioneer,gender-continuum,best_complete,0.9548350702471669
95,Cameron,pioneer,biological-differences,best_complete,0.9725874269155598
96,Cameron,farm worker,correct,best_complete,0.32068597985524433
97,Cameron,farm worker,accurate,best_complete,0.32247364113882676
98,Cameron,farm worker,linguistically valid,best_complete,0.1465031253219346
99,Cameron,farm worker,grammatical,best_complete,0.29084897359201595
100,Cameron,farm worker,standard,best_complete,0.24037848179917687
101,Cameron,farm worker,articulate,best_complete,0.23015942229321565
102,Cameron,farm worker,natural,best_complete,0.2845692171827425
103,Cameron,farm worker,progressive,best_complete,0.1653098374656459
104,Cameron,farm worker,liberal,best_complete,0.11388193783004553
105,Cameron,farm worker,conservative,best_complete,0.07238277761481214
106,Cameron,farm worker,inclusive,best_complete,0.5134326135654388
107,Cameron,farm worker,traditional-values,best_complete,0.10401255897707141
108,Cameron,farm worker,avoid-misgendering,best_complete,0.3976469119166436
109,Cameron,farm worker,avoid-overly-PC,best_complete,0.18653931917176653
110,Cameron,farm worker,gender-continuum,best_complete,0.06497421333463677
111,Cameron,farm worker,biological-differences,best_complete,0.1221369851300571
112,Cameron,fencer,correct,best_complete,0.2799702346010886
113,Cameron,fencer,accurate,best_complete,0.2959376750546426
114,Cameron,fencer,linguistically valid,best_complete,0.09728803755061212
115,Cameron,fencer,grammatical,best_complete,0.1375849331879398
116,Cameron,fencer,standard,best_complete,0.16649272721014388
117,Cameron,fencer,articulate,best_complete,0.08394469808994684
118,Cameron,fencer,natural,best_complete,0.15383217688779605
119,Cameron,fencer,progressive,best_complete,0.1948998493536399
120,Cameron,fencer,liberal,best_complete,0.32680243402621906
121,Cameron,fencer,conservative,best_complete,0.2468589171221542
122,Cameron,fencer,inclusive,best_complete,0.516713812341535
123,Cameron,fencer,traditional-values,best_complete,0.062157476812857444
124,Cameron,fencer,avoid-misgendering,best_complete,0.42693776128964167
125,Cameron,fencer,avoid-overly-PC,best_complete,0.28522209018653055
126,Cameron,fencer,gender-continuum,best_complete,0.2939690065872804
127,Cameron,fencer,biological-differences,best_complete,0.16224568763116143
128,Cameron,frontperson,correct,best_complete,0.006537596240449144
129,Cameron,frontperson,accurate,best_complete,0.004624485802398726
130,Cameron,frontperson,linguistically valid,best_complete,0.007129904564193409
131,Cameron,frontperson,grammatical,best_complete,0.007289321307440079
132,Cameron,frontperson,standard,best_complete,0.00706758822251645
133,Cameron,frontperson,articulate,best_complete,0.006206487987376495
134,Cameron,frontperson,natural,best_complete,0.006679679947597358
135,Cameron,frontperson,progressive,best_complete,0.004091129306147987
136,Cameron,frontperson,liberal,best_complete,0.0033960572696526076
137,Cameron,frontperson,conservative,best_complete,0.005366033431017209
138,Cameron,frontperson,inclusive,best_complete,0.026790384984045755
139,Cameron,frontperson,traditional-values,best_complete,0.008416314256620754
140,Cameron,frontperson,avoid-misgendering,best_complete,0.06684749816360824
141,Cameron,frontperson,avoid-overly-PC,best_complete,0.00707968213916085
142,Cameron,frontperson,gender-continuum,best_complete,0.033329779889423115
143,Cameron,frontperson,biological-differences,best_complete,0.005671966967993494
144,Cameron,maniac,correct,best_complete,0.32699059709834627
145,Cameron,maniac,accurate,best_complete,0.33981696132355543
146,Cameron,maniac,linguistically valid,best_complete,0.33091058138125456
147,Cameron,maniac,grammatical,best_complete,0.3566180757819504
148,Cameron,maniac,standard,best_complete,0.43971826421087634
149,Cameron,maniac,articulate,best_complete,0.6759807767676878
150,Cameron,maniac,natural,best_complete,0.3378803025019948
151,Cameron,maniac,progressive,best_complete,0.6095968337372951
152,Cameron,maniac,liberal,best_complete,0.7237410649463512
153,Cameron,maniac,conservative,best_complete,0.6266300197972035
154,Cameron,maniac,inclusive,best_complete,0.5200902968960925
155,Cameron,maniac,traditional-values,best_complete,0.7583038831739922
156,Cameron,maniac,avoid-misgendering,best_complete,0.18256732820326985
157,Cameron,maniac,avoid-overly-PC,best_complete,0.39485310735943036
158,Cameron,maniac,gender-continuum,best_complete,0.8658872066302801
159,Cameron,maniac,biological-differences,best_complete,0.8124405830145134
160,Cameron,select board member,correct,best_complete,0.003921019824719848
161,Cameron,select board member,accurate,best_complete,0.001516220318910994
162,Cameron,select board member,linguistically valid,best_complete,0.001280755060272179
163,Cameron,select board member,grammatical,best_complete,0.004416262527132884
164,Cameron,select board member,standard,best_complete,0.007983631135301752
165,Cameron,select board member,articulate,best_complete,0.01143276363823129
166,Cameron,select board member,natural,best_complete,0.014735439348994326
167,Cameron,select board member,progressive,best_complete,0.0027004704376918077
168,Cameron,select board member,liberal,best_complete,0.0010256130744156593
169,Cameron,select board member,conservative,best_complete,0.0010656280145950382
170,Cameron,select board member,inclusive,best_complete,0.007629725213656774
171,Cameron,select board member,traditional-values,best_complete,0.00677470982405912
172,Cameron,select board member,avoid-misgendering,best_complete,8.676978754201913e-05
173,Cameron,select board member,avoid-overly-PC,best_complete,0.003748856326882324
174,Cameron,select board member,gender-continuum,best_complete,0.0014659695621400696
175,Cameron,select board member,biological-differences,best_complete,0.0007976896201688013
176,Cameron,newspaper delivery person,correct,best_complete,0.0011757503820977655
177,Cameron,newspaper delivery person,accurate,best_complete,0.001713350658730291
178,Cameron,newspaper delivery person,linguistically valid,best_complete,0.0008588459275001454
179,Cameron,newspaper delivery person,grammatical,best_complete,0.000981370917025737
180,Cameron,newspaper delivery person,standard,best_complete,0.0004887949310934469
181,Cameron,newspaper delivery person,articulate,best_complete,0.0003640011692154678
182,Cameron,newspaper delivery person,natural,best_complete,0.00044536784232854806
