context,p(reform)
accurate,0.2383184296209341
articulate,0.26192120983629263
avoid-misgendering,0.36658110437739594
avoid-overly-PC,0.2944337852622939
biological-differences,0.32828940551689373
conservative,0.3367597792431961
correct,0.21064900798680178
gender-continuum,0.296191998601829
grammatical,0.21157857310171013
inclusive,0.2841375942651497
liberal,0.37607874062212254
linguistically valid,0.23265615445613214
natural,0.24632279688236441
progressive,0.36349024929173496
standard,0.24700622817536722
traditional-values,0.2708656040414928
