name,item,form_set,perm,way_of_asking,context,prompt_text,model,logprobs_dict
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -14.531937599182129, 'anchorman': -17.051132202148438, 'anchorwoman': -19.430977821350098}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -14.696975708007812, 'anchorman': -17.422256231307983, 'anchorwoman': -19.725436687469482}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -14.706541061401367, 'anchorman': -17.40981936454773, 'anchorwoman': -20.47128915786743}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -14.469929695129395, 'anchorman': -17.013145208358765, 'anchorwoman': -20.51534414291382}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -14.995938301086426, 'anchorman': -18.128305912017822, 'anchorwoman': -20.481029987335205}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -14.63253116607666, 'anchorman': -17.982054471969604, 'anchorwoman': -19.91540765762329}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -14.596424102783203, 'anchorman': -17.96760582923889, 'anchorwoman': -20.509990692138672}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -13.885273933410645, 'anchorman': -16.965870141983032, 'anchorwoman': -18.885929584503174}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -13.871923446655273, 'anchorman': -16.53512716293335, 'anchorwoman': -17.988315105438232}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -13.464794158935547, 'anchorman': -15.612236022949219, 'anchorwoman': -17.233633518218994}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -14.940627098083496, 'anchorman': -19.429919242858887, 'anchorwoman': -20.674651622772217}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -15.400585174560547, 'anchorman': -18.577413320541382, 'anchorwoman': -20.11817502975464}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -16.332983016967773, 'anchorman': -21.970428943634033, 'anchorwoman': -22.937903881072998}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -15.28832721710205, 'anchorman': -18.466254472732544, 'anchorwoman': -20.94272756576538}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -16.32314682006836, 'anchorman': -21.393014907836914, 'anchorwoman': -22.506340980529785}"
Cameron,anchor,"['anchor', 'anchorman', 'anchorwoman']",nan,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is an ____."" is [FORM]",flan-t5-large,"{'anchor': -17.0789737701416, 'anchorman': -21.368611335754395, 'anchorwoman': -22.267223834991455}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -15.662170767784119, 'steward': -14.078497007489204, 'stewardess': -18.7630738040898}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -14.554219663143158, 'steward': -13.757268022745848, 'stewardess': -18.450618903967552}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -17.339972019195557, 'steward': -14.687362879514694, 'stewardess': -19.48124857491348}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -17.420239210128784, 'steward': -14.759308323264122, 'stewardess': -19.77475837757811}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -15.605890154838562, 'steward': -14.30644891411066, 'stewardess': -19.190574932377785}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -15.550727367401123, 'steward': -13.972857177257538, 'stewardess': -19.0357662710594}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -15.934186935424805, 'steward': -14.13870783150196, 'stewardess': -19.171643854118884}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -16.465479612350464, 'steward': -12.722759179770947, 'stewardess': -17.745899724541232}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -16.84825086593628, 'steward': -12.610547959804535, 'stewardess': -17.65887944633141}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -17.13902735710144, 'steward': -11.987062864005566, 'stewardess': -16.964161827228963}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -15.184051752090454, 'steward': -14.618309870362282, 'stewardess': -19.69848838809412}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -18.49681568145752, 'steward': -13.90217344649136, 'stewardess': -19.31224351224955}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -18.820937156677246, 'steward': -15.510703086853027, 'stewardess': -20.367313872091472}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -16.50988781452179, 'steward': -14.312100604176521, 'stewardess': -19.37602245854214}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -18.199256896972656, 'steward': -14.645950317382812, 'stewardess': -19.84716470958665}"
Cameron,flight attendant,"['flight attendant', 'steward', 'stewardess']",nan,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'flight attendant': -22.681490898132324, 'steward': -15.960667371749878, 'stewardess': -20.10223576100543}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -14.988173007965088, 'businessman': -12.523197740316391, 'businesswoman': -15.92278003692627}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -14.502149105072021, 'businessman': -12.224632799625397, 'businesswoman': -15.754669427871704}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -15.732956647872925, 'businessman': -12.783571541309357, 'businesswoman': -16.624703407287598}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -15.36070966720581, 'businessman': -12.1664008051157, 'businesswoman': -16.194649696350098}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -14.45746374130249, 'businessman': -12.275951325893402, 'businesswoman': -15.800899505615234}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,articulate,"Assume you want to use language that is articulate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -14.909383773803711, 'businessman': -12.97905445098877, 'businesswoman': -15.978684186935425}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,natural,"Assume you want to use language that is natural. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -14.710197925567627, 'businessman': -12.164770066738129, 'businesswoman': -15.80043363571167}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,progressive,"Assume you want to sound progressive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -13.974068403244019, 'businessman': -11.795049905776978, 'businesswoman': -14.86459493637085}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,liberal,"Assume you want to sound liberal. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -14.26984691619873, 'businessman': -11.886079907417297, 'businesswoman': -14.812800884246826}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,conservative,"Assume you want to sound conservative. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -14.89792251586914, 'businessman': -12.308348774909973, 'businesswoman': -15.568250179290771}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,inclusive,"Assume you want to use language that is inclusive. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -14.900063037872314, 'businessman': -12.93938797712326, 'businesswoman': -15.188153266906738}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,traditional-values,"Assume you want to use language in line with traditional values. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -15.952165842056274, 'businessman': -13.304881811141968, 'businesswoman': -16.504180431365967}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,avoid-misgendering,"Assume you want to avoid misgendering anyone. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -17.742076873779297, 'businessman': -15.093206316232681, 'businesswoman': -17.53487539291382}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,avoid-overly-PC,"Assume you want to avoid overly PC language. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -15.56068229675293, 'businessman': -13.041228234767914, 'businesswoman': -16.420876026153564}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,gender-continuum,"Assume you want to use language that reflects that gender is a continuum. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -16.35514760017395, 'businessman': -13.599269449710846, 'businesswoman': -16.053068161010742}"
Cameron,businessperson,"['businessperson', 'businessman', 'businesswoman']",nan,best_complete,biological-differences,"Assume you want to use language that reflects biological differences between men and women. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'businessperson': -16.906468391418457, 'businessman': -14.194376111030579, 'businesswoman': -15.671111106872559}"
Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",nan,best_complete,correct,"Assume you want to use language that is correct. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'camera operator': -17.438336849212646, 'cameraman': -12.869589447975159, 'camerawoman': -18.37456512451172}"
Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",nan,best_complete,accurate,"Assume you want to use language that is accurate. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'camera operator': -17.51333522796631, 'cameraman': -13.16653823852539, 'camerawoman': -18.698694229125977}"
Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",nan,best_complete,linguistically valid,"Assume you want to use language that is linguistically valid. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'camera operator': -18.556862831115723, 'cameraman': -13.510581016540527, 'camerawoman': -19.146868228912354}"
Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",nan,best_complete,grammatical,"Assume you want to use language that is grammatical. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'camera operator': -18.318403244018555, 'cameraman': -13.06948173046112, 'camerawoman': -19.08045482635498}"
Cameron,camera operator,"['camera operator', 'cameraman', 'camerawoman']",nan,best_complete,standard,"Assume you want to use language that is standard. The best word to complete the sentence ""Cameron is a ____."" is [FORM]",flan-t5-large,"{'camera operator': -17.194830894470215, 'cameraman': -12.58566427230835, 'camerawoman': -18.221450805664062}"
