,name,item,context,way_of_asking,p(reform)
0,Aaron,businessperson,avoid-misgendering,best_complete,0.5695461577314271
1,Aaron,camera operator,avoid-misgendering,best_complete,0.9783296885068208
2,Aaron,congressperson,avoid-misgendering,best_complete,0.3476279496387676
3,Aaron,craftsperson,avoid-misgendering,best_complete,0.7762618561569609
4,Aaron,crewmember,avoid-misgendering,best_complete,0.9997486734684358
5,Aaron,firefighter,avoid-misgendering,best_complete,0.999999900015142
6,Aaron,flight attendant,avoid-misgendering,best_complete,0.683818093664373
7,Aaron,foreperson,avoid-misgendering,best_complete,0.9995805156420287
8,Aaron,layperson,avoid-misgendering,best_complete,0.9995637993324099
9,Aaron,meteorologist,avoid-misgendering,best_complete,0.9905362461034837
10,Aaron,police officer,avoid-misgendering,best_complete,0.8213551721065273
11,Aaron,salesperson,avoid-misgendering,best_complete,0.5710679397939021
12,Aaron,stunt double,avoid-misgendering,best_complete,0.087088124134375
13,Aaron,anchor,avoid-misgendering,best_complete,0.9998649176933827
14,Adeline,businessperson,avoid-misgendering,best_complete,0.8710822656885747
15,Adeline,camera operator,avoid-misgendering,best_complete,0.9962406241166815
16,Adeline,congressperson,avoid-misgendering,best_complete,0.7346787267547211
17,Adeline,craftsperson,avoid-misgendering,best_complete,0.8710013480766082
18,Adeline,crewmember,avoid-misgendering,best_complete,0.9998896259510087
19,Adeline,firefighter,avoid-misgendering,best_complete,0.9999998173438454
20,Adeline,flight attendant,avoid-misgendering,best_complete,0.7132132516171
21,Adeline,foreperson,avoid-misgendering,best_complete,0.9998429163533543
22,Adeline,layperson,avoid-misgendering,best_complete,0.9998094482099459
23,Adeline,meteorologist,avoid-misgendering,best_complete,0.995455150925672
24,Adeline,police officer,avoid-misgendering,best_complete,0.9110493193363549
25,Adeline,salesperson,avoid-misgendering,best_complete,0.8486284950811986
26,Adeline,stunt double,avoid-misgendering,best_complete,0.49463105547313224
27,Adeline,anchor,avoid-misgendering,best_complete,0.9999472756914366
28,Alex,businessperson,avoid-misgendering,best_complete,0.8130671827843944
29,Alex,camera operator,avoid-misgendering,best_complete,0.9981105159756493
30,Alex,congressperson,avoid-misgendering,best_complete,0.6332006322945526
31,Alex,craftsperson,avoid-misgendering,best_complete,0.8527018805718617
32,Alex,crewmember,avoid-misgendering,best_complete,0.9999419483470834
33,Alex,firefighter,avoid-misgendering,best_complete,0.999999937538015
34,Alex,flight attendant,avoid-misgendering,best_complete,0.6483474433977227
35,Alex,foreperson,avoid-misgendering,best_complete,0.9997992916724627
36,Alex,layperson,avoid-misgendering,best_complete,0.9998662710967703
37,Alex,meteorologist,avoid-misgendering,best_complete,0.9922064229041527
38,Alex,police officer,avoid-misgendering,best_complete,0.936726828461436
39,Alex,salesperson,avoid-misgendering,best_complete,0.8188429907451656
40,Alex,stunt double,avoid-misgendering,best_complete,0.586121484056566
41,Alex,anchor,avoid-misgendering,best_complete,0.9999460453456602
42,Alice,businessperson,avoid-misgendering,best_complete,0.9373327865817573
43,Alice,camera operator,avoid-misgendering,best_complete,0.9983265503398999
44,Alice,congressperson,avoid-misgendering,best_complete,0.8142323268705798
45,Alice,craftsperson,avoid-misgendering,best_complete,0.8856692311662746
46,Alice,crewmember,avoid-misgendering,best_complete,0.999955409467938
47,Alice,firefighter,avoid-misgendering,best_complete,0.9999999327857975
48,Alice,flight attendant,avoid-misgendering,best_complete,0.7586209183007459
49,Alice,foreperson,avoid-misgendering,best_complete,0.9998417257535179
50,Alice,layperson,avoid-misgendering,best_complete,0.999877141177731
51,Alice,meteorologist,avoid-misgendering,best_complete,0.9959433208705577
52,Alice,police officer,avoid-misgendering,best_complete,0.9419480735777908
53,Alice,salesperson,avoid-misgendering,best_complete,0.9247507795171456
54,Alice,stunt double,avoid-misgendering,best_complete,0.6138566728123411
55,Alice,anchor,avoid-misgendering,best_complete,0.9999684723532903
56,Annabella,businessperson,avoid-misgendering,best_complete,0.9216189709365666
57,Annabella,camera operator,avoid-misgendering,best_complete,0.9897062277051084
58,Annabella,congressperson,avoid-misgendering,best_complete,0.7885859730904143
59,Annabella,craftsperson,avoid-misgendering,best_complete,0.86342302487591
