,name,item,context,way_of_asking,p(reform)
0,Cameron,anchor,correct,best_complete,0.6982772852157203
1,Cameron,anchor,accurate,best_complete,0.828616799924717
2,Cameron,anchor,linguistically valid,best_complete,0.9468686609571613
3,Cameron,anchor,grammatical,best_complete,0.8831509148582487
4,Cameron,anchor,standard,best_complete,0.7007885655699435
5,Cameron,anchor,articulate,best_complete,0.8103798204004147
6,Cameron,anchor,natural,best_complete,0.7266165714842723
7,Cameron,anchor,progressive,best_complete,0.8480226465041174
8,Cameron,anchor,liberal,best_complete,0.9310545657330696
9,Cameron,anchor,conservative,best_complete,0.956766056534819
10,Cameron,anchor,inclusive,best_complete,0.9656463257529718
11,Cameron,anchor,traditional-values,best_complete,0.7934300708632698
12,Cameron,anchor,avoid-misgendering,best_complete,0.7399314395250712
13,Cameron,anchor,avoid-overly-PC,best_complete,0.6303433173277105
14,Cameron,anchor,gender-continuum,best_complete,0.9853123602244106
15,Cameron,anchor,biological-differences,best_complete,0.9490993701563186
16,Cameron,flight attendant,correct,best_complete,0.0021192095259962344
17,Cameron,flight attendant,accurate,best_complete,0.004736450617222812
18,Cameron,flight attendant,linguistically valid,best_complete,0.00041190698986431543
19,Cameron,flight attendant,grammatical,best_complete,0.000449257611409129
20,Cameron,flight attendant,standard,best_complete,0.0028815433213970954
21,Cameron,flight attendant,articulate,best_complete,0.0006550783507425184
22,Cameron,flight attendant,natural,best_complete,0.005218973772228921
23,Cameron,flight attendant,progressive,best_complete,0.005249049849982455
24,Cameron,flight attendant,liberal,best_complete,0.0005652471797800599
25,Cameron,flight attendant,conservative,best_complete,3.084552271882283e-05
26,Cameron,flight attendant,inclusive,best_complete,0.030770347949844956
27,Cameron,flight attendant,traditional-values,best_complete,6.717574843340337e-06
28,Cameron,flight attendant,avoid-misgendering,best_complete,0.027655385306727655
29,Cameron,flight attendant,avoid-overly-PC,best_complete,0.004392259950400962
30,Cameron,flight attendant,gender-continuum,best_complete,0.000561033309712686
31,Cameron,flight attendant,biological-differences,best_complete,0.004553487044389328
32,Cameron,businessperson,correct,best_complete,0.16295499244245218
33,Cameron,businessperson,accurate,best_complete,0.415616528873975
34,Cameron,businessperson,linguistically valid,best_complete,0.17385154572606784
35,Cameron,businessperson,grammatical,best_complete,0.15801544633459985
36,Cameron,businessperson,standard,best_complete,0.17115670120616308
37,Cameron,businessperson,articulate,best_complete,0.287848975408005
38,Cameron,businessperson,natural,best_complete,0.15990568184553886
39,Cameron,businessperson,progressive,best_complete,0.25152276792094097
40,Cameron,businessperson,liberal,best_complete,0.11729670214522907
41,Cameron,businessperson,conservative,best_complete,0.07122291891635144
42,Cameron,businessperson,inclusive,best_complete,0.46873013543340136
43,Cameron,businessperson,traditional-values,best_complete,0.10800151275561991
