,political_prompt,correct,accurate,linguistically valid,grammatical,standard,articulate,natural,positive-metalinguistic
0,progressive,0.06527910561302931,0.04156214077841458,0.08341729239366266,0.08851263389155424,0.06171872541400724,0.08028091699351114,0.07068478017764726,0.07020794218026091
1,liberal,0.032557001339292985,0.008840036504678258,0.050695188119926335,0.05579052961781793,0.028996621140270924,0.04755881271977482,0.03796267590391093,0.037485837906524586
2,progressive-group,0.048918053476161155,0.025201088641546417,0.06705624025679449,0.07215158175468608,0.045357673277139084,0.06391986485664299,0.05432372804077908,0.053846890043392756
3,conservative,-0.02407962394656412,-0.047796588781178845,-0.005941437165930774,-0.000846095668039192,-0.027640004145586188,-0.00907781256608229,-0.018673949381946185,-0.019150787379332516
4,inclusive,0.09214686155116841,0.06842989671655367,0.11028504833180175,0.11538038982969334,0.08858648135214633,0.10714867293165023,0.09755253611578633,0.0970756981184
5,avoid-misgendering,0.028302393318600818,0.004585428483986089,0.046440580099234165,0.05153592159712574,0.02474201311957875,0.043304204699082645,0.033708067883218756,0.033231229885832415
6,gender-continuum,0.00788155415042369,-0.015835410684191042,0.026019740931057033,0.031115082428948615,0.004321173951401623,0.02288336553090552,0.013287228715041626,0.012810390717655296
7,progressive-stance-group,0.042776936340064305,0.019059971505449573,0.060915123120697655,0.06601046461858924,0.03921655614104224,0.05777874772054614,0.04818261090468223,0.04770577290729591
8,traditional-values,1.0507379164537046e-05,-0.02370645745545019,0.018148694159797883,0.023244035657689465,-0.0035498728198575294,0.015012318759646367,0.005416181943782475,0.004939343946396143
9,avoid-overly-PC,0.021576028944957665,-0.0021409358896570634,0.03971421572559101,0.0448095572234826,0.0180156487459356,0.036577840325439495,0.026981703509575603,0.02650486551218927
10,biological-differences,-0.046538022010615895,-0.07025498684523063,-0.028399835229982545,-0.023304493732090963,-0.05009840220963796,-0.03153621063013406,-0.041132347445997954,-0.04160918544338429
11,conservative-stance-group,-0.008317161895497896,-0.032034126730112626,0.009821024885135449,0.014916366383027034,-0.011877542094519963,0.006684649484983933,-0.00291148733087996,-0.003388325328266291
