,political_prompt,correct,accurate,linguistically valid,grammatical,standard,articulate,natural,positive-metalinguistic
0,progressive,0.060369149503472885,0.05643145981681407,0.07284358441483482,0.08516729141677871,0.06841480836689395,0.07676342733055724,0.0796889969167684,0.0713826739665886
1,liberal,0.030794266517674328,0.026856576831015513,0.043268701429036265,0.05559240843098014,0.0388399253810954,0.04718854434475867,0.050114113930969824,0.04180779098079002
2,progressive-group,0.04558170801057362,0.04164401832391478,0.05805614292193554,0.07037984992387943,0.05362736687399469,0.06197598583765796,0.0649015554238691,0.056595232473689305
3,conservative,-0.02784248156742908,-0.0317801712540879,-0.015368046656067152,-0.003044339654123261,-0.019796822704008007,-0.011448203740344734,-0.008522634154133589,-0.01682895710431339
4,inclusive,0.5557569716393722,0.5518192819527135,0.5682314065507342,0.5805551135526781,0.5638026305027934,0.5721512494664566,0.5750768190526678,0.566770496102488
5,avoid-misgendering,0.833297773178345,0.8293600834916862,0.8457722080897068,0.8580959150916507,0.841343432041766,0.8496920510054292,0.8526176205916406,0.8443112976414607
6,gender-continuum,0.8760570432617584,0.8721193535750996,0.8885314781731202,0.9008551851750641,0.8841027021251793,0.8924513210888426,0.895376890675054,0.8870705677248739
7,progressive-stance-group,0.7550372626931585,0.7510995730064997,0.7675116976045205,0.7798354046064644,0.7630829215565796,0.771431540520243,0.774357110106454,0.7660507871562743
8,traditional-values,-0.005497004263631148,-0.009434693950289967,0.006977430647730788,0.019301137649674675,0.002548654599789928,0.010897273563453203,0.013822843149664345,0.005516520199484545
9,avoid-overly-PC,-0.011516567675437444,-0.015454257362096263,0.000957867235924491,0.01328157423786838,-0.0034709088120163656,0.0048777101516469055,0.007803279737858051,-0.0005030432123217476
10,biological-differences,-0.0317545778113637,-0.03569226749802252,-0.019280142900001764,-0.006956435898057876,-0.023708918947942623,-0.015360299984279348,-0.012434730398068203,-0.020741053348248002
11,conservative-stance-group,-0.01625604991681076,-0.020193739603469582,-0.0037816150054488275,0.008542091996495058,-0.008210391053389688,0.00013822791027358615,0.00306379749648473,-0.005242525453695071
