,name,item,context,way_of_asking,p(reform)
0,Aaron,anchor,choices-all-terms,best_complete,0.38559663609327366
1,Aaron,anchor,choices-all-terms,best_refer,0.42202857259016885
2,Aaron,anchor,choices-all-terms,direct,0.5462049170689037
3,Aaron,anchor,choices-all-terms,likely_complete,0.298888141820652
4,Aaron,anchor,choices-all-terms,likely_refer,0.45288357206143814
5,Aaron,businessperson,choices-all-terms,best_complete,0.014721842529801665
6,Aaron,businessperson,choices-all-terms,best_refer,0.017796414686641965
7,Aaron,businessperson,choices-all-terms,direct,0.5267275077634558
8,Aaron,businessperson,choices-all-terms,likely_complete,0.09638376753342
9,Aaron,businessperson,choices-all-terms,likely_refer,0.07549368361677074
10,Aaron,camera operator,choices-all-terms,best_complete,0.048402019086637556
11,Aaron,camera operator,choices-all-terms,best_refer,0.05533778261226747
12,Aaron,camera operator,choices-all-terms,direct,0.1831343657301914
13,Aaron,camera operator,choices-all-terms,likely_complete,0.11091393484977219
14,Aaron,camera operator,choices-all-terms,likely_refer,0.08695618827114455
15,Aaron,congressperson,choices-all-terms,best_complete,0.0007378225141345458
16,Aaron,congressperson,choices-all-terms,best_refer,0.001553465772809618
17,Aaron,congressperson,choices-all-terms,direct,0.003578059621027648
18,Aaron,congressperson,choices-all-terms,likely_complete,0.003224431337746267
19,Aaron,congressperson,choices-all-terms,likely_refer,0.00931318224107522
20,Aaron,craftsperson,choices-all-terms,best_complete,0.012929651914815947
21,Aaron,craftsperson,choices-all-terms,best_refer,0.0168660539518975
22,Aaron,craftsperson,choices-all-terms,direct,0.09362321643266808
23,Aaron,craftsperson,choices-all-terms,likely_complete,0.03649160661092465
24,Aaron,craftsperson,choices-all-terms,likely_refer,0.04249282040455979
25,Aaron,crewmember,choices-all-terms,best_complete,0.2445140309901309
26,Aaron,crewmember,choices-all-terms,best_refer,0.1974196977595077
27,Aaron,crewmember,choices-all-terms,direct,0.3737252100946969
28,Aaron,crewmember,choices-all-terms,likely_complete,0.3176343122760621
29,Aaron,crewmember,choices-all-terms,likely_refer,0.15886574583769672
30,Aaron,firefighter,choices-all-terms,best_complete,0.9918019921491158
31,Aaron,firefighter,choices-all-terms,best_refer,0.9834939836192366
32,Aaron,firefighter,choices-all-terms,direct,0.9733277775380214
33,Aaron,firefighter,choices-all-terms,likely_complete,0.9322391688228139
34,Aaron,firefighter,choices-all-terms,likely_refer,0.9384236774160176
35,Aaron,flight attendant,choices-all-terms,best_complete,0.2511828982307081
36,Aaron,flight attendant,choices-all-terms,best_refer,0.40693335795311586
37,Aaron,flight attendant,choices-all-terms,direct,0.7749429534041533
38,Aaron,flight attendant,choices-all-terms,likely_complete,0.47294293179506325
39,Aaron,flight attendant,choices-all-terms,likely_refer,0.4411865197107809
40,Aaron,foreperson,choices-all-terms,best_complete,0.03138891451556051
41,Aaron,foreperson,choices-all-terms,best_refer,0.0607056760061471
42,Aaron,foreperson,choices-all-terms,direct,0.2963197203648035
43,Aaron,foreperson,choices-all-terms,likely_complete,0.034690561235812614
44,Aaron,foreperson,choices-all-terms,likely_refer,0.012925937513448121
45,Aaron,layperson,choices-all-terms,best_complete,0.07954448499093239
46,Aaron,layperson,choices-all-terms,best_refer,0.13119477903807386
47,Aaron,layperson,choices-all-terms,direct,0.36717363770855566
48,Aaron,layperson,choices-all-terms,likely_complete,0.10939377002205697
49,Aaron,layperson,choices-all-terms,likely_refer,0.14539890443359796
50,Aaron,meteorologist,choices-all-terms,best_complete,0.829013476411849
51,Aaron,meteorologist,choices-all-terms,best_refer,0.8464902132392814
52,Aaron,meteorologist,choices-all-terms,direct,0.7213334480964249
53,Aaron,meteorologist,choices-all-terms,likely_complete,0.7061717493895076
54,Aaron,meteorologist,choices-all-terms,likely_refer,0.862860574290795
55,Aaron,police officer,choices-all-terms,best_complete,0.026756136194478825
56,Aaron,police officer,choices-all-terms,best_refer,0.06287456181651464
57,Aaron,police officer,choices-all-terms,direct,0.7630875390490804
58,Aaron,police officer,choices-all-terms,likely_complete,0.03432404994977898
59,Aaron,police officer,choices-all-terms,likely_refer,0.10159931910614046
60,Aaron,salesperson,choices-all-terms,best_complete,0.07232208602871383
61,Aaron,salesperson,choices-all-terms,best_refer,0.17766749705294146
62,Aaron,salesperson,choices-all-terms,direct,0.5967196178485428
63,Aaron,salesperson,choices-all-terms,likely_complete,0.16859736510278722
64,Aaron,salesperson,choices-all-terms,likely_refer,0.23441530687235904
65,Aaron,stunt double,choices-all-terms,best_complete,0.0027977374813057056
66,Aaron,stunt double,choices-all-terms,best_refer,0.017754163727151485
67,Aaron,stunt double,choices-all-terms,direct,0.06901809087885187
68,Aaron,stunt double,choices-all-terms,likely_complete,0.0016388501417675975
69,Aaron,stunt double,choices-all-terms,likely_refer,0.005273987008762929
70,Adeline,anchor,choices-all-terms,best_complete,0.43278342217520405
71,Adeline,anchor,choices-all-terms,best_refer,0.4297564572188674
72,Adeline,anchor,choices-all-terms,direct,0.003539778590504703
73,Adeline,anchor,choices-all-terms,likely_complete,0.33725226136669617
74,Adeline,anchor,choices-all-terms,likely_refer,0.3993542805397676
75,Adeline,businessperson,choices-all-terms,best_complete,0.0018048308205189897
