context,p(reform)
accurate,0.32171085987816034
articulate,0.25034283328290063
avoid-misgendering,0.3966515084951796
avoid-overly-PC,0.2678109163907879
biological-differences,0.26642475354326006
conservative,0.2257053937086857
correct,0.2651591773617287
gender-continuum,0.3686315779915341
grammatical,0.2608133488639935
inclusive,0.40641303387939226
liberal,0.26595027912740227
linguistically valid,0.2578739165266165
natural,0.2618066840652587
progressive,0.28222633005286546
standard,0.26888663167323895
traditional-values,0.22792709730572308
